t_s,z_true_m,z_raw_tof,z_mov_avg_10,z_lp_iir_085,z_complementary_098,z_kf1_1state,z_kf1_2state,z_kf1_3state,z_kalman9D_fw
0.28,1.0,1.011607,1.001706,1.002267,1.000352,1.006953,1.004312,1.006415,1.001244
0.285,1.0,1.011607,1.001706,1.002267,1.000361,1.006953,1.004469,1.006835,1.001248
0.29,1.0,1.011607,1.001706,1.002267,1.000369,1.006953,1.004627,1.007267,1.001252
0.295,1.0,1.011607,1.001706,1.002267,1.000377,1.006953,1.004784,1.007711,1.001256
0.3,1.0,1.004761,1.001993,1.002641,1.000472,1.005682,1.004889,1.006729,1.001505
0.305,1.0,1.004761,1.001993,1.002641,1.000482,1.005682,1.005044,1.007105,1.001509
0.31,1.0,1.004761,1.001993,1.002641,1.000491,1.005682,1.005199,1.007491,1.001513
0.315,1.0,1.004761,1.001993,1.002641,1.000501,1.005682,1.005355,1.007886,1.001517
0.32,1.0,0.998532,1.002604,1.002025,1.000471,1.001536,1.003488,1.00431,1.001318
0.325,1.0,0.998532,1.002604,1.002025,1.000478,1.001536,1.003559,1.004484,1.00132
0.33,1.0,0.998532,1.002604,1.002025,1.000485,1.001536,1.003631,1.004662,1.001322
0.335,1.0,0.998532,1.002604,1.002025,1.000492,1.001536,1.003703,1.004843,1.001323
0.34,1.0,1.005967,1.002868,1.002616,1.000608,1.004106,1.004406,1.005398,1.001633
0.345,1.0,1.005967,1.002868,1.002616,1.000618,1.004106,1.004504,1.005607,1.001636
0.35,1.0,1.005967,1.002868,1.002616,1.000628,1.004106,1.004602,1.005821,1.001639
0.355,1.0,1.005967,1.002868,1.002616,1.000637,1.004106,1.0047,1.006038,1.001643
0.36,1.0,1.004467,1.003462,1.002894,1.000724,1.004315,1.004703,1.005578,1.001831
0.365,1.0,1.004467,1.003462,1.002894,1.000736,1.004315,1.004797,1.005766,1.001836
0.37,1.0,1.004467,1.003462,1.002894,1.000748,1.004315,1.004891,1.005958,1.001841
0.375,1.0,1.004467,1.003462,1.002894,1.000761,1.004315,1.004985,1.006152,1.001846
0.38,1.0,1.006135,1.003751,1.00338,1.00088,1.00537,1.005381,1.006271,1.002128
0.385,1.0,1.006135,1.003751,1.00338,1.000895,1.00537,1.005488,1.006468,1.002136
0.39,1.0,1.006135,1.003751,1.00338,1.000911,1.00537,1.005595,1.006667,1.002144
0.395,1.0,1.006135,1.003751,1.00338,1.000927,1.00537,1.005701,1.00687,1.002152
0.4,1.0,1.000576,1.003558,1.002959,1.000937,1.00259,1.004309,1.004771,1.002059
0.405,1.0,1.000576,1.003558,1.002959,1.000953,1.00259,1.004353,1.004866,1.002067
0.41,1.0,1.000576,1.003558,1.002959,1.000969,1.00259,1.004397,1.004961,1.002074
0.415,1.0,1.000576,1.003558,1.002959,1.000984,1.00259,1.004441,1.005056,1.002082
0.42,1.0,1.004082,1.003582,1.003128,1.001062,1.003455,1.00437,1.004786,1.002218
0.425,1.0,1.004082,1.003582,1.003128,1.00108,1.003455,1.004409,1.004865,1.002227
0.43,1.0,1.004082,1.003582,1.003128,1.001097,1.003455,1.004448,1.004945,1.002236
0.435,1.0,1.004082,1.003582,1.003128,1.001115,1.003455,1.004488,1.005026,1.002245
0.44,1.0,0.99725,1.003354,1.002246,1.001055,0.999858,1.002444,1.002497,1.001929
0.445,1.0,0.99725,1.003354,1.002246,1.00107,0.999858,1.002396,1.002458,1.001935
0.45,1.0,0.99725,1.003354,1.002246,1.001086,0.999858,1.002348,1.002418,1.001941
0.455,1.0,0.99725,1.003354,1.002246,1.001102,0.999858,1.0023,1.002376,1.001947
0.46,1.0,0.997861,1.003124,1.001588,1.001052,0.9987,1.000995,1.000891,1.001685
0.465,1.0,0.997861,1.003124,1.001588,1.001067,0.9987,1.000895,1.000781,1.001689
0.47,1.0,0.997861,1.003124,1.001588,1.001082,0.9987,1.000794,1.000668,1.001693
0.475,1.0,0.997861,1.003124,1.001588,1.001096,0.9987,1.000694,1.000552,1.001697
0.48,1.0,0.993794,1.001342,1.000419,1.000964,0.995855,0.998647,0.998355,1.001177
0.485,1.0,0.993794,1.001342,1.000419,1.000975,0.995855,0.998465,0.998144,1.001175
0.49,1.0,0.993794,1.001342,1.000419,1.000986,0.995855,0.998283,0.997929,1.001173
0.495,1.0,0.993794,1.001342,1.000419,1.000997,0.995855,0.998102,0.997708,1.001171
0.5,1.0,1.011417,1.002008,1.002069,1.001216,1.004878,1.001784,1.001727,1.001858
0.505,1.0,1.011417,1.002008,1.002069,1.001232,1.004878,1.001763,1.001674,1.001864
0.51,1.0,1.011417,1.002008,1.002069,1.001248,1.004878,1.001743,1.001619,1.00187
0.515,1.0,1.011417,1.002008,1.002069,1.001265,1.004878,1.001723,1.001563,1.001876
0.52,1.0,1.001616,1.002316,1.002001,1.001287,1.002987,1.001678,1.001538,1.001863
0.525,1.0,1.001616,1.002316,1.002001,1.001304,1.002987,1.001656,1.001481,1.001869
0.53,1.0,1.001616,1.002316,1.002001,1.001321,1.002987,1.001635,1.001421,1.001875
0.535,1.0,1.001616,1.002316,1.002001,1.001337,1.002987,1.001614,1.00136,1.001881
0.54,1.0,1.007668,1.002486,1.002851,1.001481,1.005701,1.003331,1.003143,1.002289
0.545,1.0,1.007668,1.002486,1.002851,1.001501,1.005701,1.003382,1.003152,1.0023
0.55,1.0,1.007668,1.002486,1.002851,1.001522,1.005701,1.003434,1.003161,1.002312
0.555,1.0,1.007668,1.002486,1.002851,1.001542,1.005701,1.003485,1.003169,1.002323
0.56,1.0,1.000977,1.002137,1.00257,1.00155,1.002962,1.002804,1.002554,1.002237
0.565,1.0,1.000977,1.002137,1.00257,1.001569,1.002962,1.002825,1.002537,1.002246
0.57,1.0,1.000977,1.002137,1.00257,1.001589,1.002962,1.002845,1.00252,1.002256
0.575,1.0,1.000977,1.002137,1.00257,1.001609,1.002962,1.002866,1.002502,1.002266
0.58,1.0,0.992155,1.00074,1.001008,1.00144,0.996696,0.999816,0.999616,1.001545
0.585,1.0,0.992155,1.00074,1.001008,1.001455,0.996696,0.999708,0.999487,1.001546
0.59,1.0,0.992155,1.00074,1.001008,1.001471,0.996696,0.999601,0.999356,1.001548
0.595,1.0,0.992155,1.00074,1.001008,1.001486,0.996696,0.999493,0.999223,1.001549
0.6,1.0,0.999779,1.00066,1.000823,1.001468,0.998484,0.999498,0.999276,1.001421
0.605,1.0,0.999779,1.00066,1.000823,1.001484,0.998484,0.999395,0.999145,1.001421
0.61,1.0,0.999779,1.00066,1.000823,1.001499,0.998484,0.999292,0.999011,1.001422
0.615,1.0,0.999779,1.00066,1.000823,1.001515,0.998484,0.99919,0.998875,1.001423
0.62,1.0,0.996499,0.999902,1.000175,1.00143,0.997333,0.998346,0.998137,1.001054
0.625,1.0,0.996499,0.999902,1.000175,1.001444,0.997333,0.998212,0.997974,1.001051
0.63,1.0,0.996499,0.999902,1.000175,1.001458,0.997333,0.998079,0.997809,1.001049
0.635,1.0,0.996499,0.999902,1.000175,1.001472,0.997333,0.997945,0.99764,1.001046
0.64,1.0,1.003046,1.000481,1.000605,1.001518,1.000645,0.999309,0.998942,1.001197
0.645,1.0,1.003046,1.000481,1.000605,1.001534,1.000645,0.999238,0.998822,1.001197
0.65,1.0,1.003046,1.000481,1.000605,1.001551,1.000645,0.999166,0.998701,1.001198
0.655,1.0,1.003046,1.000481,1.000605,1.001568,1.000645,0.999095,0.998577,1.001199
0.66,1.0,1.00056,1.000751,1.000599,1.001565,1.000596,0.999463,0.999001,1.001151
0.665,1.0,1.00056,1.000751,1.000599,1.001582,1.000596,0.999411,0.998894,1.001152
0.67,1.0,1.00056,1.000751,1.000599,1.001599,1.000596,0.999358,0.998785,1.001153
0.675,1.0,1.00056,1.000751,1.000599,1.001617,1.000596,0.999305,0.998674,1.001155
0.68,1.0,0.997436,1.001115,1.000124,1.001551,0.998764,0.998732,0.998272,1.000864
0.685,1.0,0.997436,1.001115,1.000124,1.001566,0.998764,0.998658,0.998147,1.000862
0.69,1.0,0.997436,1.001115,1.000124,1.001581,0.998764,0.998583,0.998022,1.00086
0.695,1.0,0.997436,1.001115,1.000124,1.001597,0.998764,0.998509,0.997894,1.000858
0.7,1.0,1.004355,1.000409,1.000759,1.001667,1.002006,1.000128,0.999447,1.001136
0.705,1.0,1.004355,1.000409,1.000759,1.001684,1.002006,1.000124,0.999376,1.001137
0.71,1.0,1.004355,1.000409,1.000759,1.0017,1.002006,1.00012,0.999304,1.001138
0.715,1.0,1.004355,1.000409,1.000759,1.001716,1.002006,1.000117,0.999232,1.00114
0.72,1.0,0.992585,0.999506,0.999533,1.00155,0.996544,0.997959,0.997494,1.000448
0.725,1.0,0.992585,0.999506,0.999533,1.001562,0.996544,0.997865,0.997361,1.000441
0.73,1.0,0.992585,0.999506,0.999533,1.001574,0.996544,0.997772,0.997226,1.000434
0.735,1.0,0.992585,0.999506,0.999533,1.001586,0.996544,0.997678,0.997089,1.000427
0.74,1.0,1.00244,0.998983,0.999969,1.001615,0.999963,0.998973,0.998331,1.000585
0.745,1.0,1.00244,0.998983,0.999969,1.001627,0.999963,0.998938,0.99824,1.00058
0.75,1.0,1.00244,0.998983,0.999969,1.00164,0.999963,0.998902,0.998148,1.000575
0.755,1.0,1.00244,0.998983,0.999969,1.001653,0.999963,0.998866,0.998055,1.00057
0.76,1.0,1.001904,0.999076,1.000259,1.00167,1.001088,0.99971,0.998947,1.000676
0.765,1.0,1.001904,0.999076,1.000259,1.001683,1.001088,0.999711,0.998887,1.000672
0.77,1.0,1.001904,0.999076,1.000259,1.001696,1.001088,0.999712,0.998827,1.000669
0.775,1.0,1.001904,0.999076,1.000259,1.001709,1.001088,0.999713,0.998766,1.000666
0.78,1.0,0.998469,0.999707,0.999991,1.001657,0.99957,0.999358,0.998646,1.00048
0.785,1.0,0.998469,0.999707,0.999991,1.001669,0.99957,0.999344,0.998583,1.000474
0.79,1.0,0.998469,0.999707,0.999991,1.001682,0.99957,0.99933,0.998519,1.000469
0.795,1.0,0.998469,0.999707,0.999991,1.001694,0.99957,0.999316,0.998454,1.000465
0.8,1.0,0.997789,0.999508,0.99966,1.001629,0.998537,0.998869,0.99824,1.000236
0.805,1.0,0.997789,0.999508,0.99966,1.001641,0.998537,0.998837,0.99817,1.00023
0.81,1.0,0.997789,0.999508,0.99966,1.001653,0.998537,0.998805,0.998098,1.000224
0.815,1.0,0.997789,0.999508,0.99966,1.001664,0.998537,0.998773,0.998027,1.000218
0.82,1.0,0.998587,0.999717,0.999499,1.001614,0.998566,0.998697,0.998111,1.000074
0.825,1.0,0.998587,0.999717,0.999499,1.001624,0.998566,0.998663,0.998044,1.000066
0.83,1.0,0.998587,0.999717,0.999499,1.001632,0.998566,0.99863,0.997976,1.000057
0.835,1.0,0.998587,0.999717,0.999499,1.001642,0.998566,0.998596,0.997908,1.000049
0.84,1.0,1.008715,1.000284,1.000882,1.001793,1.00445,1.001467,1.000527,1.000781
0.845,1.0,1.008715,1.000284,1.000882,1.001806,1.00445,1.001554,1.000554,1.000781
0.85,1.0,1.008715,1.000284,1.000882,1.001819,1.00445,1.001642,1.000581,1.000781
0.855,1.0,1.008715,1.000284,1.000882,1.001833,1.00445,1.001729,1.00061,1.000783
0.86,1.0,0.992524,0.99948,0.999628,1.001661,0.997535,0.999158,0.998636,1.000076
0.865,1.0,0.992524,0.99948,0.999628,1.00167,0.997535,0.999134,0.998596,1.000069
0.87,1.0,0.992524,0.99948,0.999628,1.00168,0.997535,0.999111,0.998555,1.000062
0.875,1.0,0.992524,0.99948,0.999628,1.001689,0.997535,0.999087,0.998515,1.000055
0.88,1.0,0.998715,0.999608,0.999491,1.00164,0.998219,0.998964,0.998534,0.999934
0.885,1.0,0.998715,0.999608,0.999491,1.001648,0.998219,0.998936,0.998495,0.999926
0.89,1.0,0.998715,0.999608,0.999491,1.001656,0.998219,0.998909,0.998456,0.999918
0.895,1.0,0.998715,0.999608,0.999491,1.001665,0.998219,0.998881,0.998418,0.99991
0.9,1.0,0.990215,0.998194,0.9981,1.001444,0.993579,0.996382,0.996367,0.999065
0.905,1.0,0.990215,0.998194,0.9981,1.001448,0.993579,0.996251,0.996257,0.999048
0.91,1.0,0.990215,0.998194,0.9981,1.001451,0.993579,0.99612,0.996146,0.999031
0.915,1.0,0.990215,0.998194,0.9981,1.001456,0.993579,0.995989,0.996034,0.999015
0.92,1.0,1.001547,0.99909,0.998617,1.001463,0.998198,0.997486,0.997306,0.99922
0.925,1.0,1.001547,0.99909,0.998617,1.001468,0.998198,0.997423,0.997241,0.999207
0.93,1.0,1.001547,0.99909,0.998617,1.001472,0.998198,0.99736,0.997175,0.999194
0.935,1.0,1.001547,0.99909,0.998617,1.001476,0.998198,0.997297,0.997109,0.99918
0.94,1.0,1.002901,0.999137,0.999259,1.001509,1.000925,0.998855,0.998486,0.999491
0.945,1.0,1.002901,0.999137,0.999259,1.001514,1.000925,0.99886,0.99847,0.999481
0.95,1.0,1.002901,0.999137,0.999259,1.001519,1.000925,0.998865,0.998455,0.999471
0.955,1.0,1.002901,0.999137,0.999259,1.001523,1.000925,0.998869,0.99844,0.99946
0.96,1.0,1.003217,0.999268,0.999853,1.00156,1.002254,1.000117,0.999606,0.999777
0.965,1.0,1.003217,0.999268,0.999853,1.001563,1.002254,1.000173,0.999634,0.999769
0.97,1.0,1.003217,0.999268,0.999853,1.001566,1.002254,1.00023,0.999664,0.99976
0.975,1.0,1.003217,0.999268,0.999853,1.001569,1.002254,1.000287,0.999694,0.999751
0.98,1.0,1.000356,0.999457,0.999929,1.001548,1.001154,1.000347,0.999881,0.999796
0.985,1.0,1.000356,0.999457,0.999929,1.001552,1.001154,1.000404,0.999919,0.999789
0.99,1.0,1.000356,0.999457,0.999929,1.001556,1.001154,1.000461,0.999958,0.999782
0.995,1.0,1.000356,0.999457,0.999929,1.001559,1.001154,1.000517,0.999999,0.999775
1.0,1.0,1.007637,1.000441,1.001085,1.001683,1.004913,1.002595,1.001911,1.000453
1.005,1.0,1.007637,1.000441,1.001085,1.00169,1.004913,1.002736,1.002021,1.000453
1.01,1.0,1.007637,1.000441,1.001085,1.001696,1.004913,1.002877,1.002132,1.000454
1.015,1.0,1.007637,1.000441,1.001085,1.001705,1.004913,1.003018,1.002246,1.000456
1.02,1.0,1.003102,1.000893,1.001387,1.001741,1.003863,1.003143,1.002544,1.000689
1.025,1.0,1.003102,1.000893,1.001387,1.00175,1.003863,1.003284,1.002669,1.000694
1.03,1.0,1.003102,1.000893,1.001387,1.001759,1.003863,1.003424,1.002796,1.000699
1.035,1.0,1.003102,1.000893,1.001387,1.001769,1.003863,1.003565,1.002925,1.000705
1.04,1.0,0.993003,0.999322,1.00013,1.001604,0.997566,1.000643,1.00058,1.000039
1.045,1.0,0.993003,0.999322,1.00013,1.001611,0.997566,1.000656,1.000626,1.000039
1.05,1.0,0.993003,0.999322,1.00013,1.001617,0.997566,1.000668,1.000673,1.000038
1.055,1.0,0.993003,0.999322,1.00013,1.001624,0.997566,1.000681,1.000721,1.000038
1.06,1.0,0.988722,0.998941,0.998418,1.001372,0.992438,0.997269,0.997803,0.999051
1.065,1.0,0.988722,0.998941,0.998418,1.001371,0.992438,0.997138,0.997747,0.999039
1.07,1.0,0.988722,0.998941,0.998418,1.00137,0.992438,0.997008,0.99769,0.999026
1.075,1.0,0.988722,0.998941,0.998418,1.001369,0.992438,0.996878,0.997633,0.999013
1.08,1.0,0.996152,0.998685,0.998078,1.001264,0.994591,0.996577,0.997225,0.998752
1.085,1.0,0.996152,0.998685,0.998078,1.00126,0.994591,0.996439,0.997154,0.998736
1.09,1.0,0.996152,0.998685,0.998078,1.001255,0.994591,0.996302,0.997082,0.998719
1.095,1.0,0.996152,0.998685,0.998078,1.00125,0.994591,0.996164,0.997009,0.998702
1.1,1.0,1.004965,1.00016,0.999111,1.00132,1.000606,0.998584,0.998913,0.999231
1.105,1.0,1.004965,1.00016,0.999111,1.001317,1.000606,0.998553,0.998909,0.99922
1.11,1.0,1.004965,1.00016,0.999111,1.001315,1.000606,0.998522,0.998905,0.99921
1.115,1.0,1.004965,1.00016,0.999111,1.001313,1.000606,0.998492,0.998901,0.9992
1.12,1.0,0.996696,0.999675,0.998749,1.001218,0.998339,0.997956,0.998355,0.998973
1.125,1.0,0.996696,0.999675,0.998749,1.001214,0.998339,0.997904,0.998332,0.99896
1.13,1.0,0.996696,0.999675,0.998749,1.001209,0.998339,0.997852,0.998309,0.998948
1.135,1.0,0.996696,0.999675,0.998749,1.001203,0.998339,0.9978,0.998286,0.998934
1.14,1.0,1.001249,0.99951,0.999124,1.001199,1.000026,0.99875,0.998998,0.999123
1.145,1.0,1.001249,0.99951,0.999124,1.001193,1.000026,0.99874,0.999001,0.999111
1.15,1.0,1.001249,0.99951,0.999124,1.001186,1.000026,0.99873,0.999005,0.999099
1.155,1.0,1.001249,0.99951,0.999124,1.00118,1.000026,0.99872,0.999008,0.999087
1.16,1.0,1.000191,0.999207,0.999284,1.001155,1.000122,0.999134,0.999302,0.999172
1.165,1.0,1.000191,0.999207,0.999284,1.001149,1.000122,0.999142,0.999317,0.999162
1.17,1.0,1.000191,0.999207,0.999284,1.001143,1.000122,0.999149,0.999332,0.999152
1.175,1.0,1.000191,0.999207,0.999284,1.001137,1.000122,0.999157,0.999347,0.999141
1.18,1.0,0.999374,0.999109,0.999298,1.001094,0.999688,0.999225,0.999366,0.999151
1.185,1.0,0.999374,0.999109,0.999298,1.001087,0.999688,0.999235,0.999382,0.99914
1.19,1.0,0.999374,0.999109,0.999298,1.00108,0.999688,0.999245,0.999399,0.99913
1.195,1.0,0.999374,0.999109,0.999298,1.001073,0.999688,0.999255,0.999416,0.99912
1.2,1.0,0.996435,0.997989,0.998868,1.000975,0.997802,0.998456,0.998696,0.998879
1.205,1.0,0.996435,0.997989,0.998868,1.000967,0.997802,0.998432,0.998688,0.998867
1.21,1.0,0.996435,0.997989,0.998868,1.000959,0.997802,0.998408,0.99868,0.998856
