t_s,roll_madgwick,roll_mahony,roll_simple_kf,roll_ekf,roll_ekf9state,roll_complementary,roll_lowpass,roll_highpass
4.51,15.3911,29.6834,30.046,30.1706,30.1525,30.0716,30.1069,0.068
4.515,15.4056,29.6838,30.0454,30.1636,30.1509,30.0699,30.1039,0.066
4.52,15.4234,29.6853,30.0415,30.1362,30.1507,30.0637,30.0434,0.0672
4.525,15.4401,29.6867,30.0393,30.1193,30.1503,30.0597,30.0154,0.0673
4.53,15.4601,29.6949,30.0519,30.1498,30.1562,30.0731,30.0977,0.0707
4.535,15.4737,29.7026,30.0776,30.2456,30.1612,30.1039,30.3469,0.0678
4.54,15.4903,29.709,30.0922,30.2869,30.1653,30.1202,30.4329,0.0677
4.545,15.502,29.706,30.087,30.2655,30.1605,30.1133,30.37,0.0629
4.55,15.5191,29.7126,30.1011,30.3029,30.1648,30.1288,30.4447,0.0633
4.555,15.533,29.7113,30.0962,30.2759,30.1617,30.1217,30.3636,0.0606
4.56,15.5522,29.7248,30.1279,30.3727,30.1725,30.1582,30.5816,0.0632
4.565,15.5695,29.7152,30.088,30.2026,30.1623,30.1074,30.1318,0.064
4.57,15.5883,29.714,30.0728,30.1298,30.1598,30.087,29.9594,0.0661
4.575,15.6076,29.713,30.0569,30.0566,30.1575,30.0658,29.7995,0.0688
4.58,15.6266,29.7291,30.0979,30.2006,30.1705,30.1143,30.1853,0.0712
4.585,15.6443,29.724,30.0721,30.0912,30.1644,30.0811,29.9169,0.0724
4.59,15.658,29.7117,30.0322,29.9464,30.1515,30.0321,29.5952,0.0696
4.595,15.677,29.7159,30.0343,29.9508,30.1538,30.0334,29.6529,0.072
4.6,15.6922,29.7152,30.029,29.9375,30.1514,30.0266,29.6678,0.0708
4.605,15.7118,29.7186,30.0272,29.9263,30.1531,30.0232,29.6737,0.0738
4.61,15.726,29.7125,30.0072,29.8623,30.1458,29.9988,29.5607,0.0714
4.615,15.744,29.722,30.0294,29.9491,30.1528,30.0253,29.8152,0.0728
4.62,15.7617,29.7166,30.003,29.8506,30.1464,29.9924,29.5911,0.074
4.625,15.7792,29.7216,30.0118,29.8887,30.1495,30.0027,29.7211,0.075
4.63,15.7942,29.7225,30.0126,29.9021,30.1484,30.0037,29.7827,0.0734
4.635,15.811,29.7212,30.002,29.8667,30.1458,29.9904,29.7131,0.0738
4.64,15.8237,29.7221,30.0083,29.9082,30.1447,29.9988,29.8467,0.0699
4.645,15.8409,29.7251,30.0107,29.9193,30.1458,30.0012,29.8811,0.0708
4.65,15.8606,29.7372,30.0374,30.0145,30.1555,30.0329,30.1125,0.074
4.655,15.8753,29.7282,30.0065,29.9035,30.1457,29.995,29.8304,0.0721
4.66,15.8894,29.7317,30.0185,29.9606,30.147,30.0101,29.9868,0.0696
4.665,15.9027,29.7331,30.0253,29.997,30.1465,30.0187,30.0796,0.0663
4.67,15.9223,29.7457,30.054,30.0956,30.1564,30.0526,30.3015,0.0694
4.675,15.9382,29.7333,30.0089,29.924,30.1438,29.997,29.8518,0.0688
4.68,15.9543,29.7423,30.0342,30.024,30.1503,30.0278,30.1087,0.0682
4.685,15.9713,29.7465,30.0415,30.0486,30.1526,30.0361,30.1552,0.0687
4.69,15.9898,29.747,30.0331,30.0096,30.1517,30.0249,30.0392,0.0706
4.695,16.0051,29.7494,30.0381,30.0307,30.1523,30.0308,30.0889,0.0696
4.7,16.0202,29.7488,30.0343,30.0194,30.1502,30.026,30.056,0.068
4.705,16.0346,29.7548,30.0533,30.095,30.1538,30.0492,30.2406,0.066
4.71,16.0525,29.7614,30.0663,30.1353,30.1583,30.0642,30.3142,0.0673
4.715,16.0685,29.7627,30.0664,30.1305,30.158,30.0637,30.277,0.0667
4.72,16.0854,29.77,30.0839,30.1885,30.1631,30.0842,30.396,0.0671
4.725,16.1025,29.7738,30.0894,30.1984,30.1651,30.0899,30.3879,0.0677
4.73,16.1167,29.7693,30.0747,30.1403,30.1596,30.0715,30.2229,0.0653
4.735,16.1336,29.7733,30.0812,30.157,30.1617,30.0786,30.2504,0.0657
4.74,16.1485,29.7693,30.0659,30.0966,30.1568,30.0594,30.0918,0.0642
4.745,16.1626,29.7708,30.0707,30.1163,30.1566,30.0651,30.1459,0.062
4.75,16.181,29.7782,30.0854,30.1611,30.1619,30.082,30.247,0.0638
4.755,16.197,29.7727,30.0628,30.0707,30.1557,30.0537,30.0141,0.0633
4.76,16.2124,29.7745,30.0662,30.0837,30.1558,30.0575,30.0572,0.0621
4.765,16.2248,29.7622,30.0302,29.957,30.1433,30.0138,29.7608,0.0579
4.77,16.2425,29.7725,30.056,30.053,30.151,30.0448,30.0224,0.0591
4.775,16.2602,29.7782,30.0666,30.0871,30.1549,30.057,30.1075,0.0603
4.78,16.2754,29.7832,30.0807,30.14,30.1577,30.0739,30.2369,0.059
4.785,16.2926,29.7792,30.0608,30.0574,30.1532,30.0488,30.0186,0.0597
4.79,16.3058,29.7761,30.053,30.0351,30.1488,30.0394,29.9775,0.0564
4.795,16.3206,29.7833,30.0754,30.1225,30.1534,30.0667,30.204,0.0546
4.8,16.3417,29.7976,30.1068,30.2221,30.1652,30.1034,30.4254,0.0591
4.805,16.3591,29.7966,30.0958,30.1682,30.1632,30.0887,30.2608,0.06
4.81,16.3748,29.801,30.1068,30.2044,30.1656,30.1016,30.3376,0.0592
4.815,16.3935,29.8082,30.1204,30.2402,30.1709,30.1168,30.4003,0.0613
4.82,16.41,29.8099,30.1206,30.2304,30.1712,30.116,30.3522,0.0613
4.825,16.4287,29.8157,30.1294,30.2475,30.1753,30.1253,30.371,0.0634
4.83,16.4438,29.8263,30.1616,30.3609,30.183,30.1639,30.6333,0.062
4.835,16.4625,29.8274,30.1547,30.313,30.1831,30.1536,30.4702,0.0642
4.84,16.4807,29.8248,30.1369,30.2282,30.18,30.1302,30.2352,0.0658
4.845,16.4921,29.8105,30.0964,30.0818,30.1659,30.081,29.8874,0.0608
4.85,16.5074,29.8099,30.0921,30.0674,30.164,30.0754,29.8843,0.0595
4.855,16.5283,29.8151,30.0932,30.0575,30.1679,30.0752,29.8768,0.0641
4.86,16.5428,29.8165,30.0975,30.0786,30.1678,30.0804,29.96,0.0622
4.865,16.5572,29.8157,30.0942,30.0701,30.1656,30.0762,29.9618,0.0602
4.87,16.5672,29.8046,30.0679,29.9888,30.154,30.0451,29.7943,0.0535
4.875,16.5865,29.8189,30.1034,30.1163,30.1655,30.0875,30.1292,0.0564
4.88,16.6018,29.8224,30.1127,30.1509,30.1671,30.0985,30.2149,0.0551
4.885,16.6196,29.8286,30.125,30.1876,30.1715,30.1125,30.292,0.0564
4.89,16.6348,29.8191,30.0917,30.0599,30.1622,30.0714,29.9668,0.0551
4.895,16.6489,29.8175,30.0871,30.0486,30.1594,30.0658,29.9587,0.0527
4.9,16.6648,29.8139,30.0712,29.9905,30.1551,30.0462,29.831,0.0522
4.905,16.688,29.8141,30.0519,29.903,30.1551,30.0209,29.6254,0.0588
4.91,16.7007,29.813,30.052,29.9203,30.1526,30.0218,29.7178,0.0552
4.915,16.7163,29.8143,30.0536,29.9349,30.1524,30.024,29.7859,0.0543
4.92,16.7304,29.8127,30.0486,29.9273,30.1497,30.0183,29.7945,0.0522
4.925,16.7443,29.8082,30.0354,29.8908,30.1444,30.0028,29.7312,0.0496
4.93,16.7594,29.8051,30.0239,29.859,30.1404,29.9892,29.6805,0.0482
4.935,16.7774,29.7937,29.9789,29.6956,30.13,29.9343,29.3038,0.0496
4.94,16.7946,29.8049,30.0097,29.8257,30.1384,29.9724,29.6792,0.0504
4.945,16.81,29.8083,30.019,29.8735,30.14,29.9844,29.8209,0.0493
4.95,16.8256,29.825,30.0716,30.0802,30.1528,30.0491,30.3371,0.0484
4.955,16.8479,29.8194,30.0352,29.9256,30.148,30.0031,29.9068,0.0542
4.96,16.8616,29.8186,30.0346,29.9359,30.1458,30.0031,29.941,0.0515
4.965,16.8757,29.8218,30.0461,29.9901,30.147,30.0179,30.0782,0.0491
4.97,16.8897,29.8127,30.0177,29.8926,30.1379,29.9837,29.8324,0.0465
4.975,16.9074,29.8088,29.9973,29.8189,30.1338,29.9588,29.6576,0.048
4.98,16.9232,29.8112,30.003,29.8523,30.1347,29.9664,29.7652,0.0472
4.985,16.9396,29.8109,29.9978,29.8416,30.1334,29.9606,29.7523,0.0471
4.99,16.9557,29.8148,30.0078,29.8889,30.1356,29.9733,29.8823,0.0467
4.995,16.9742,29.8183,30.0103,29.8988,30.1377,29.9763,29.9028,0.0488
5.0,16.9859,29.8042,29.9712,29.7715,30.1242,29.9299,29.6019,0.0439
5.005,16.9982,29.8051,29.9799,29.8278,30.1232,29.9423,29.7747,0.0397
5.01,17.0179,29.8108,29.9871,29.8544,30.1274,29.9509,29.8404,0.0429
5.015,17.0371,29.8103,29.9754,29.8107,30.1264,29.9365,29.7293,0.0457
5.02,17.0514,29.8096,29.9747,29.8239,30.1245,29.9368,29.779,0.0434
5.025,17.0698,29.8074,29.959,29.7685,30.1219,29.9178,29.6455,0.0454
5.03,17.0823,29.8103,29.9738,29.8466,30.1226,29.9376,29.8642,0.0414
5.035,17.1013,29.8241,30.0096,29.9808,30.1335,29.9813,30.1843,0.0439
5.04,17.1143,29.8297,30.032,30.0746,30.1366,30.0096,30.3915,0.0405
5.045,17.1316,29.8326,30.0353,30.0802,30.1381,30.0133,30.3559,0.0413
5.05,17.1515,29.8433,30.0588,30.1547,30.1467,30.0412,30.489,0.0447
5.055,17.1691,29.8474,30.0654,30.1682,30.1493,30.0486,30.4692,0.0459
5.06,17.1855,29.8574,30.0939,30.2663,30.1565,30.0831,30.6645,0.0458
5.065,17.2034,29.8649,30.1106,30.3116,30.1621,30.1025,30.7123,0.0473
5.07,17.2256,29.8635,30.0886,30.1983,30.161,30.0736,30.3617,0.053
5.075,17.2422,29.868,30.0986,30.2262,30.1638,30.0853,30.4051,0.0532
5.08,17.2594,29.8722,30.1064,30.2429,30.1665,30.094,30.4175,0.0539
5.085,17.2765,29.8709,30.0964,30.1927,30.1647,30.0811,30.2669,0.0546
5.09,17.2945,29.8722,30.093,30.1677,30.1652,30.0762,30.1909,0.0561
5.095,17.3165,29.8805,30.1034,30.1847,30.1721,30.0872,30.2164,0.0616
5.1,17.3321,29.882,30.1062,30.1903,30.1723,30.0904,30.2275,0.0607
5.105,17.3468,29.8781,30.0932,30.1386,30.1679,30.0744,30.0995,0.0589
5.11,17.3643,29.872,30.0665,30.0314,30.1622,30.0413,29.8404,0.0599
5.115,17.3847,29.8685,30.0424,29.9308,30.1592,30.0109,29.6137,0.0639
5.12,17.4023,29.8757,30.0595,29.997,30.1644,30.0317,29.8208,0.0651
5.125,17.4197,29.8696,30.0333,29.8992,30.1587,29.9997,29.6056,0.066
5.13,17.4396,29.8762,30.0438,29.9361,30.1638,30.0121,29.7323,0.0694
5.135,17.4554,29.8693,30.0187,29.8497,30.1572,29.9819,29.5526,0.0687
5.14,17.4693,29.8695,30.0212,29.8756,30.156,29.9861,29.666,0.0664
5.145,17.4823,29.8684,30.0222,29.8971,30.1536,29.9886,29.7583,0.0629
5.15,17.4958,29.8672,30.0214,29.909,30.1512,29.9887,29.8149,0.0599
5.155,17.5129,29.8718,30.0311,29.9492,30.1542,30.0007,29.9256,0.0608
5.16,17.5279,29.8781,30.0517,30.0343,30.1582,30.0265,30.141,0.0592
5.165,17.5449,29.8748,30.0359,29.9733,30.1549,30.0071,29.9742,0.0598
5.17,17.5594,29.8784,30.0487,30.0294,30.1566,30.0234,30.1159,0.0579
5.175,17.575,29.8761,30.0393,29.9962,30.1537,30.0122,30.0235,0.0571
5.18,17.5896,29.8648,30.0025,29.8647,30.1435,29.9678,29.7013,0.0554
5.185,17.6036,29.8617,29.9946,29.8502,30.1397,29.9593,29.6959,0.0529
5.19,17.6223,29.8696,30.0124,29.919,30.1456,29.981,29.8824,0.0551
5.195,17.6387,29.8728,30.0195,29.9507,30.1473,29.9901,29.9657,0.0551
5.2,17.6537,29.8714,30.0149,29.9411,30.1451,29.9852,29.9433,0.0536
5.205,17.6709,29.8772,30.0288,29.9947,30.1491,30.0024,30.0723,0.0544
5.21,17.6825,29.8683,30.0072,29.9284,30.1402,29.9773,29.9094,0.0495
5.215,17.6927,29.8572,29.9816,29.8536,30.1293,29.9477,29.7434,0.0433
5.22,17.7121,29.8644,29.995,29.903,30.1348,29.964,29.8739,0.0464
5.225,17.7268,29.8729,30.0238,30.0209,30.1405,30.0001,30.171,0.0446
5.23,17.745,29.8806,30.0419,30.083,30.1462,30.0219,30.2968,0.0463
5.235,17.762,29.8844,30.0495,30.1059,30.1486,30.031,30.3192,0.0469
5.24,17.7825,29.8956,30.0733,30.1786,30.1576,30.059,30.4559,0.051
5.245,17.7975,29.8939,30.0673,30.1517,30.1552,30.0517,30.3519,0.0495
5.25,17.812,29.8999,30.0878,30.2268,30.1588,30.0768,30.51,0.0476
5.255,17.8303,29.9059,30.0989,30.2515,30.1633,30.0894,30.5234,0.0497
5.26,17.8494,29.9022,30.0765,30.1484,30.1602,30.0609,30.2235,0.0526
5.265,17.8638,29.9018,30.0765,30.1479,30.1588,30.061,30.2157,0.0504
5.27,17.8792,29.9041,30.0824,30.1661,30.1597,30.0681,30.2521,0.0496
5.275,17.8917,29.8986,30.0699,30.123,30.1538,30.0534,30.1429,0.0456
5.28,17.9091,29.8936,30.0473,30.03,30.1495,30.0252,29.9094,0.0469
5.285,17.9222,29.892,30.0463,30.0352,30.1468,30.0248,29.9477,0.0436
5.29,17.9397,29.9004,30.0677,30.1111,30.153,30.0506,30.1439,0.0448
5.295,17.9611,29.9181,30.1108,30.2544,30.1672,30.1018,30.4784,0.0497
5.3,17.9755,29.9259,30.1373,30.3475,30.1723,30.1339,30.6772,0.0477
5.305,17.9922,29.9187,30.1081,30.2205,30.1662,30.0972,30.3148,0.0485
5.31,18.0139,29.9237,30.1083,30.1968,30.1706,30.0957,30.2298,0.054
5.315,18.0311,29.9274,30.1148,30.2111,30.1729,30.1029,30.2581,0.0548
5.32,18.0459,29.9225,30.098,30.1437,30.1682,30.0822,30.0888,0.0535
5.325,18.0596,29.916,30.0788,30.0737,30.1619,30.0589,29.9314,0.0511
5.33,18.0732,29.9057,30.0476,29.9628,30.1525,30.0212,29.6871,0.0484
5.335,18.0898,29.9144,30.0724,30.0586,30.1587,30.0515,29.9626,0.0487
5.34,18.1098,29.9154,30.0644,30.0182,30.1597,30.0409,29.8699,0.0522
5.345,18.1285,29.9294,30.1017,30.1527,30.1705,30.0859,30.2162,0.0545
5.35,18.1406,29.9246,30.0922,30.1234,30.1652,30.0748,30.1444,0.0503
5.355,18.1576,29.9343,30.1185,30.2157,30.1722,30.1065,30.3656,0.0511
5.36,18.1771,29.9483,30.1539,30.3311,30.1833,30.1484,30.6183,0.0542
5.365,18.1961,29.9554,30.1674,30.3601,30.1888,30.1633,30.6402,0.0569
5.37,18.2144,29.951,30.1443,30.2534,30.1851,30.1337,30.3323,0.0588
5.375,18.2325,29.9585,30.1616,30.3043,30.1907,30.1538,30.4413,0.0604
5.38,18.2458,29.9548,30.1529,30.268,30.1866,30.1429,30.3389,0.0574
5.385,18.2635,29.9652,30.1802,30.3568,30.1944,30.1752,30.5426,0.0587
5.39,18.282,29.9591,30.1516,30.2297,30.1896,30.1388,30.1986,0.0609
5.395,18.298,29.9583,30.1458,30.2012,30.1883,30.1312,30.134,0.0606
5.4,18.3165,29.9562,30.1307,30.1328,30.1866,30.1117,29.9718,0.0627
5.405,18.336,29.9636,30.144,30.1711,30.1924,30.1268,30.0824,0.0659
5.41,18.3519,29.9623,30.1374,30.1435,30.1908,30.1183,30.0292,0.0655
5.415,18.3641,29.9459,30.0896,29.9734,30.1766,30.0606,29.6394,0.0614
5.42,18.3768,29.9413,30.0797,29.9516,30.1716,30.0493,29.6443,0.0578
5.425,18.3937,29.9497,30.103,30.0441,30.1776,30.0778,29.916,0.0582
5.43,18.4121,29.9491,30.0933,30.004,30.177,30.0654,29.8322,0.0602
5.435,18.4278,29.941,30.0647,29.9023,30.1701,30.0306,29.6099,0.0598
5.44,18.4438,29.9428,30.0685,29.9261,30.1708,30.0356,29.713,0.0594
5.445,18.4593,29.9435,30.0696,29.9404,30.1704,30.0375,29.7818,0.0585
5.45,18.4746,29.9579,30.1161,30.1233,30.1808,30.0946,30.2557,0.0576
5.455,18.4876,29.9536,30.1067,30.0949,30.1762,30.0837,30.1742,0.0542
5.46,18.5021,29.95,30.096,30.0588,30.1724,30.0708,30.0783,0.0523
5.465,18.5127,29.9392,30.0707,29.9807,30.1622,30.0412,29.8975,0.0465
5.47,18.5299,29.9512,30.1053,30.112,30.171,30.0834,30.2294,0.0473
5.475,18.5459,29.9484,30.0932,30.0644,30.1683,30.0683,30.0954,0.0472
5.48,18.5621,29.9573,30.1197,30.1638,30.1746,30.1006,30.3346,0.0471
5.485,18.5812,29.9629,30.128,30.1823,30.1789,30.1098,30.3477,0.0499
5.49,18.5973,29.9448,30.0653,29.9422,30.1646,30.0329,29.7344,0.05
5.495,18.6142,29.94,30.0451,29.8713,30.1605,30.0084,29.5904,0.0506
5.5,18.6335,29.947,30.0588,29.9243,30.1659,30.0248,29.7557,0.0535
5.505,18.651,29.9453,30.0471,29.884,30.1644,30.0106,29.6789,0.0549
5.51,18.6704,29.954,30.0662,29.9564,30.1712,30.0337,29.8799,0.058
5.515,18.6844,29.9528,30.0648,29.9632,30.1692,30.0328,29.9133,0.0556
5.52,18.6956,29.9536,30.0765,30.0262,30.1681,30.0485,30.087,0.0505
5.525,18.7105,29.9652,30.115,30.1761,30.176,30.0961,30.4485,0.049
5.53,18.7234,29.9686,30.1307,30.2383,30.1773,30.1157,30.5678,0.0456
5.535,18.7382,29.9659,30.1225,30.2026,30.1744,30.1054,30.4344,0.044
5.54,18.7601,29.971,30.1233,30.1831,30.1791,30.1047,30.3391,0.0496
5.545,18.7772,29.9753,30.1327,30.2104,30.1821,30.1157,30.381,0.0503
5.55,18.7936,29.9655,30.0972,30.0706,30.1741,30.072,30.013,0.0503
5.555,18.8085,29.9707,30.1144,30.1384,30.1772,30.0931,30.1908,0.0489
5.56,18.8197,29.9564,30.0763,30.007,30.1646,30.0477,29.8732,0.0437
5.565,18.8374,29.9619,30.0888,30.053,30.1686,30.0627,30.0028,0.045
5.57,18.852,29.9536,30.0625,29.9598,30.1614,30.031,29.7863,0.0433
5.575,18.8662,29.9491,30.0498,29.9233,30.157,30.0162,29.7275,0.0413
5.58,18.8863,29.9522,30.0487,29.9157,30.1597,30.0144,29.7297,0.045
5.585,18.9033,29.957,30.0606,29.9655,30.163,30.0292,29.8781,0.0457
5.59,18.9179,29.9535,30.0502,29.9363,30.1594,30.0172,29.8237,0.0439
5.595,18.9334,29.9589,30.0674,30.0089,30.1628,30.0387,30.0201,0.0431
5.6,18.9488,29.9573,30.0616,29.9925,30.1609,30.0321,29.9806,0.0421
5.605,18.9701,29.9667,30.0785,30.045,30.1686,30.0518,30.0995,0.0471
5.61,18.9873,29.9691,30.0818,30.0562,30.1702,30.0558,30.1168,0.0479
5.615,18.9995,29.9632,30.0684,30.0164,30.1643,30.0403,30.019,0.0441
5.62,19.0108,29.9596,30.0655,30.0213,30.16,30.0381,30.0421,0.0391
5.625,19.0268,29.9717,30.1036,30.1663,30.1685,30.0848,30.395,0.0387
5.63,19.0441,29.9653,30.0772,30.0591,30.1635,30.0521,30.0956,0.0398
5.635,19.0608,29.9652,30.0731,30.042,30.163,30.047,30.0474,0.0402
5.64,19.0771,29.9556,30.0374,29.9076,30.1556,30.0034,29.7154,0.0409
5.645,19.0919,29.9553,30.0371,29.9178,30.1545,30.0039,29.7724,0.0395
5.65,19.1056,29.9565,30.0451,29.9618,30.1543,30.0147,29.9081,0.0368
5.655,19.12,29.9515,30.0306,29.917,30.1496,29.9977,29.811,0.0348
5.66,19.1344,29.9455,30.013,29.8633,30.1441,29.9772,29.7,0.0328
5.665,19.1503,29.9394,29.9918,29.7938,30.139,29.952,29.5552,0.0325
5.67,19.1688,29.9397,29.9856,29.777,30.1392,29.9448,29.5451,0.0346
5.675,19.1837,29.9325,29.9625,29.7066,30.1332,29.9178,29.4098,0.0336
5.68,19.202,29.9395,29.9788,29.7784,30.1383,29.9383,29.6253,0.0356
5.685,19.22,29.9504,30.0084,29.8968,30.1465,29.9751,29.9341,0.0375
5.69,19.2347,29.9505,30.0098,29.9126,30.1457,29.9777,29.9705,0.036
5.695,19.25,29.9473,29.9991,29.8809,30.1426,29.9654,29.8863,0.0351
5.7,19.2667,29.9489,30.0013,29.8951,30.1434,29.9686,29.9191,0.0356
5.705,19.2836,29.9491,29.9988,29.891,30.1432,29.9662,29.9045,0.0361
5.71,19.3002,29.9578,30.0247,29.9936,30.1493,29.9984,30.153,0.0364
5.715,19.3163,29.9584,30.0248,29.9959,30.1493,29.9989,30.135,0.0362
5.72,19.335,29.9623,30.0299,30.0097,30.1523,30.005,30.1424,0.0386
5.725,19.3479,29.9614,30.0325,30.0292,30.1504,30.0092,30.1779,0.0353
5.73,19.3608,29.9542,30.0145,29.9712,30.1437,29.9883,30.0216,0.0318
5.735,19.373,29.948,30.0015,29.9361,30.1376,29.9738,29.9374,0.0277
5.74,19.3909,29.9455,29.9874,29.8827,30.1357,29.9567,29.803,0.0293
5.745,19.4056,29.9474,29.9955,29.9239,30.1362,29.9676,29.9195,0.0277
5.75,19.4211,29.9435,29.9825,29.8818,30.1327,29.9525,29.8188,0.027
5.755,19.4352,29.946,29.9936,29.9356,30.1335,29.9671,29.9648,0.0248
5.76,19.4529,29.9503,30.0028,29.9699,30.1366,29.9786,30.0413,0.0262
5.765,19.4664,29.9529,30.0156,30.0272,30.1373,29.9952,30.1773,0.0233
5.77,19.4793,29.9526,30.0203,30.053,30.1358,30.002,30.2259,0.0199
5.775,19.4935,29.9479,30.0076,30.0083,30.1314,29.9871,30.0952,0.0179
5.78,19.5096,29.9381,29.974,29.883,30.1238,29.9464,29.776,0.0176
5.785,19.525,29.9438,29.9928,29.9615,30.1273,29.9702,29.9862,0.0168
5.79,19.5396,29.9419,29.9883,29.9511,30.125,29.9655,29.9608,0.0151
5.795,19.5579,29.949,30.0046,30.0081,30.1303,29.9853,30.0939,0.0173
5.8,19.574,29.9512,30.0105,30.0299,30.1315,29.9927,30.135,0.0171
5.805,19.5947,29.9621,30.0341,30.1047,30.1402,30.0208,30.2922,0.0214
5.81,19.6122,29.9626,30.0306,30.0829,30.1405,30.0162,30.208,0.0227
5.815,19.6319,29.9693,30.0427,30.1147,30.1459,30.0302,30.259,0.0261
5.82,19.6527,29.9823,30.0729,30.21,30.1562,30.0661,30.4603,0.0306
5.825,19.6658,29.9858,30.0895,30.271,30.1575,30.0866,30.5797,0.0273
5.83,19.6802,29.9781,30.0659,30.175,30.151,30.0578,30.3027,0.0255
5.835,19.6975,29.9816,30.0728,30.1901,30.1535,30.0657,30.318,0.0265
5.84,19.7187,29.9803,30.055,30.1015,30.1535,30.0426,30.0709,0.0314
5.845,19.7324,29.9729,30.0345,30.0281,30.1471,30.0181,29.9018,0.0288
5.85,19.7433,29.9707,30.0377,30.0543,30.1436,30.0232,29.9971,0.0234
5.855,19.7623,29.9767,30.0489,30.0869,30.1483,30.0363,30.0792,0.0262
5.86,19.7783,29.9645,30.0055,29.9195,30.1394,29.983,29.6686,0.0268
5.865,19.7925,29.9654,30.0111,29.9512,30.139,29.9907,29.7885,0.0248
5.87,19.8034,29.9629,30.0131,29.9768,30.1354,29.9947,29.8878,0.0195
5.875,19.8189,29.9596,30.0022,29.9397,30.1325,29.9818,29.8118,0.0188
5.88,19.8336,29.9515,29.9765,29.8506,30.1258,29.951,29.6158,0.0175
5.885,19.8449,29.9498,29.9806,29.8875,30.1229,29.9577,29.7526,0.0126
5.89,19.8614,29.9393,29.944,29.7556,30.115,29.9134,29.4494,0.0128
5.895,19.8756,29.9357,29.9352,29.7408,30.1114,29.904,29.4636,0.0108
5.9,19.8856,29.9287,29.9249,29.7319,30.1043,29.8938,29.4974,0.0047
5.905,19.9008,29.9268,29.9191,29.7251,30.1022,29.8877,29.5179,0.0038
5.91,19.9155,29.9308,29.9343,29.7992,30.1042,29.9076,29.7339,0.0023
5.915,19.9328,29.9361,29.948,29.8564,30.108,29.9248,29.881,0.0034
5.92,19.9533,29.9473,29.9731,29.9444,30.1168,29.9551,30.0828,0.0077
5.925,19.9708,29.9503,29.9785,29.9633,30.119,29.9619,30.1055,0.0089
5.93,19.9847,29.947,29.9716,29.9448,30.1156,29.9543,30.0444,0.0065
5.935,20.0022,29.9511,29.9806,29.9769,30.1185,29.9654,30.1052,0.0078
5.94,20.0172,29.952,29.9847,29.9957,30.1184,29.9709,30.1351,0.0065
5.945,20.0317,29.9406,29.9496,29.8684,30.1094,29.9287,29.8062,0.0048
5.95,20.0489,29.9339,29.9232,29.7719,30.1045,29.8968,29.5766,0.006
5.955,20.0643,29.9271,29.9017,29.7045,30.099,29.8717,29.443,0.0051
5.96,20.079,29.9344,29.9282,29.8211,30.1034,29.9054,29.771,0.0036
5.965,20.0953,29.9328,29.9214,29.8028,30.1019,29.8977,29.7336,0.0036
5.97,20.1104,29.9414,29.9507,29.9235,30.1073,29.9345,30.0421,0.0025
5.975,20.1241,29.9449,29.9668,29.9928,30.1087,29.9552,30.1997,-0.0
5.98,20.1414,29.9531,29.9897,30.0741,30.1145,29.9831,30.3653,0.001
5.985,20.1537,29.9481,29.9806,30.0453,30.1095,29.9729,30.2603,-0.0029
5.99,20.169,29.9437,29.9664,29.99,30.1058,29.9558,30.0943,-0.0037
5.995,20.1863,29.9375,29.9422,29.8953,30.1013,29.9262,29.8447,-0.0027
6.0,20.2046,29.9351,29.9279,29.8397,30.0998,29.9089,29.7113,-0.0006
6.005,20.219,29.9265,29.9025,29.7557,30.0927,29.8789,29.529,-0.0024
6.01,20.2391,29.9194,29.8693,29.6315,30.0884,29.8384,29.2501,0.0014
6.015,20.2541,29.9231,29.8833,29.7034,30.0902,29.857,29.4861,0.0002
6.02,20.2712,29.9321,29.9101,29.814,30.0965,29.8906,29.7877,0.001
6.025,20.286,29.9284,29.8993,29.7837,30.0932,29.8784,29.7198,-0.0001
6.03,20.3027,29.9357,29.9212,29.8727,30.0981,29.9059,29.9463,0.0004
6.035,20.3186,29.9342,29.9148,29.8523,30.0967,29.8986,29.885,0.0005
6.04,20.3331,29.9285,29.8984,29.8003,30.0918,29.8796,29.7565,-0.0011
6.045,20.3483,29.9262,29.8925,29.7885,30.0895,29.8734,29.7365,-0.0022
6.05,20.3605,29.9173,29.8713,29.728,30.0817,29.8493,29.6055,-0.0062
6.055,20.3733,29.9151,29.8712,29.7475,30.0787,29.8509,29.6796,-0.0097
6.06,20.3892,29.9182,29.8809,29.7936,30.0805,29.8637,29.8029,-0.0098
6.065,20.4019,29.9119,29.867,29.7576,30.0747,29.8483,29.7213,-0.0132
6.07,20.4123,29.9157,29.8915,29.8729,30.0753,29.8803,30.0221,-0.0189
6.075,20.4208,29.9039,29.8687,29.8101,30.0644,29.8547,29.863,-0.0263
6.08,20.4373,29.8987,29.8503,29.7453,30.0606,29.8329,29.6959,-0.026
6.085,20.4552,29.9084,29.8773,29.8497,30.0675,29.8663,29.9551,-0.0244
6.09,20.474,29.9119,29.8817,29.8622,30.0703,29.8718,29.9639,-0.0218
6.095,20.4895,29.9082,29.8705,29.8245,30.0672,29.8588,29.8582,-0.0226
6.1,20.5048,29.9064,29.8657,29.8136,30.0652,29.8539,29.8285,-0.0235
6.105,20.5187,29.902,29.8557,29.7869,30.0611,29.8428,29.7662,-0.0258
6.11,20.5327,29.9042,29.8674,29.8425,30.0616,29.8583,29.9107,-0.0281
6.115,20.5491,29.9008,29.854,29.7938,30.0591,29.8424,29.78,-0.0276
