t_s,roll_madgwick,roll_mahony,roll_simple_kf,roll_ekf,roll_ekf9state,roll_complementary,roll_lowpass,roll_highpass
0.315,1.1312,8.0191,5.6943,29.9047,28.8658,21.7869,29.9245,0.032
0.32,1.1467,8.1326,5.8629,30.0129,28.9427,21.9834,30.1903,0.0303
0.325,1.1667,8.2459,6.032,30.0643,29.0045,22.1627,30.2829,0.0332
0.33,1.1809,8.3455,6.1866,30.0094,29.0268,22.3008,30.1226,0.0302
0.335,1.1928,8.4491,6.3496,30.0446,29.0761,22.4629,30.2039,0.0249
0.34,1.2084,8.553,6.5137,30.0424,29.1154,22.6128,30.1781,0.0234
0.345,1.2258,8.6599,6.6833,30.065,29.1634,22.7689,30.2126,0.0235
0.35,1.2399,8.7577,6.8431,30.0114,29.1836,22.8953,30.0664,0.0205
0.355,1.2569,8.8634,7.0152,30.0373,29.2306,23.0459,30.1218,0.0204
0.36,1.2769,8.9647,7.181,29.9723,29.2492,23.1665,29.9435,0.0232
0.365,1.2896,9.0572,7.3394,29.8922,29.2563,23.2735,29.7615,0.0189
0.37,1.3095,9.1682,7.5238,29.9781,29.321,23.4357,29.9854,0.0215
0.375,1.3299,9.2698,7.6953,29.9352,29.3445,23.5548,29.8717,0.0248
0.38,1.3474,9.3739,7.8741,29.9696,29.39,23.6938,29.9649,0.0251
0.385,1.3643,9.4715,8.0447,29.9297,29.4107,23.8061,29.8686,0.0248
0.39,1.3812,9.5682,8.2155,29.886,29.4289,23.9142,29.7713,0.0246
0.395,1.3937,9.6721,8.4024,30.0011,29.495,24.068,30.0812,0.0198
0.4,1.4106,9.7839,8.6011,30.1641,29.5813,24.2397,30.469,0.0196
0.405,1.4242,9.8781,8.7749,30.1344,29.6042,24.3461,30.359,0.016
0.41,1.4408,9.973,8.9493,30.0837,29.6212,24.4449,30.2023,0.0154
0.415,1.4567,10.063,9.1176,29.9881,29.6215,24.5256,29.9534,0.0142
0.42,1.4774,10.1678,9.3088,30.0372,29.6705,24.6533,30.0709,0.0177
0.425,1.4951,10.271,9.501,30.1055,29.7239,24.7836,30.2316,0.0182
0.43,1.5122,10.3721,9.6914,30.1549,29.7714,24.9062,30.3338,0.0182
0.435,1.5268,10.4694,9.8786,30.1887,29.8122,25.0205,30.3956,0.0157
0.44,1.5454,10.5644,10.0602,30.1486,29.8316,25.1117,30.263,0.0171
0.445,1.5613,10.6598,10.246,30.1553,29.8632,25.2137,30.2653,0.0158
0.45,1.5812,10.7512,10.4227,30.0663,29.8657,25.2853,30.0247,0.0185
0.455,1.6008,10.8494,10.613,30.0797,29.8996,25.387,30.0582,0.0209
0.46,1.6214,10.9511,10.8101,30.1321,29.9465,25.5003,30.1817,0.0244
0.465,1.639,11.0409,10.9893,30.0696,29.9541,25.5728,30.0202,0.0248
0.47,1.6589,11.1348,11.1751,30.0413,29.9729,25.6553,29.9521,0.0275
0.475,1.6753,11.2209,11.3508,29.9632,29.9719,25.7171,29.7757,0.0268
0.48,1.6897,11.3043,11.5241,29.8835,29.9673,25.7741,29.6151,0.024
0.485,1.7074,11.3896,11.6989,29.7983,29.9613,25.8288,29.4457,0.0246
0.49,1.7241,11.4781,11.8816,29.7761,29.9734,25.9007,29.4451,0.0241
0.495,1.7385,11.5771,12.0877,29.9255,30.0395,26.0251,29.8671,0.0214
0.5,1.7591,11.6724,12.2818,29.9489,30.0705,26.113,29.9252,0.0248
0.505,1.7719,11.7589,12.4673,29.9575,30.0912,26.1896,29.9599,0.0204
0.51,1.7866,11.8487,12.6581,29.9883,30.1203,26.2733,30.0407,0.0179
0.515,1.8032,11.937,12.8452,29.9828,30.1389,26.3454,30.0207,0.0173
0.52,1.8162,12.0137,13.0136,29.8759,30.1214,26.3805,29.7627,0.0132
0.525,1.8364,12.1047,13.2039,29.8778,30.1421,26.4531,29.7774,0.0162
0.53,1.8538,12.1995,13.4057,29.968,30.1895,26.5511,30.013,0.0164
0.535,1.8705,12.2936,13.6077,30.0585,30.2376,26.6487,30.2286,0.016
0.54,1.885,12.3844,13.8058,30.1312,30.2795,26.7389,30.3873,0.0133
0.545,1.9033,12.4743,13.999,30.15,30.3071,26.8136,30.3923,0.0144
0.55,1.9185,12.5632,14.194,30.1955,30.3412,26.8939,30.4719,0.0125
0.555,1.9362,12.6388,14.3594,30.0457,30.3134,26.9113,30.0627,0.0129
0.56,1.9555,12.7327,14.5619,30.1243,30.3584,27.0011,30.2475,0.015
0.565,1.9731,12.8183,14.7491,30.1158,30.3748,27.0611,30.2073,0.0155
0.57,1.993,12.9025,14.9314,30.0689,30.3795,27.1087,30.0726,0.0182
0.575,2.0093,12.9914,15.1285,30.1331,30.4169,27.1884,30.2312,0.0174
0.58,2.0234,13.0707,15.3081,30.1029,30.4226,27.2353,30.1496,0.0143
0.585,2.041,13.1583,15.5019,30.1431,30.4528,27.3061,30.24,0.0148
0.59,2.0579,13.2475,15.7005,30.2153,30.4932,27.3862,30.403,0.0145
0.595,2.074,13.3258,15.8764,30.1573,30.4915,27.4232,30.2353,0.0134
0.6,2.0965,13.434,16.1115,30.4178,30.5964,27.5666,30.8494,0.0188
0.605,2.1128,13.5073,16.2769,30.2943,30.5759,27.5826,30.4843,0.0179
0.61,2.1313,13.588,16.4563,30.25,30.5803,27.6233,30.3444,0.0193
0.615,2.1471,13.6606,16.6213,30.1427,30.5613,27.6399,30.0704,0.018
0.62,2.1629,13.7352,16.7911,30.0731,30.5524,27.6663,29.9141,0.0165
0.625,2.1771,13.8198,16.9857,30.1573,30.5908,27.74,30.1508,0.0136
0.63,2.1918,13.9015,17.1733,30.1992,30.6168,27.8003,30.2601,0.0111
0.635,2.209,13.9727,17.3339,30.079,30.5926,27.8091,29.9564,0.0112
0.64,2.2311,14.0572,17.5187,30.0832,30.6094,27.8592,29.974,0.0161
0.645,2.2472,14.1324,17.6901,30.0434,30.6078,27.8899,29.8951,0.015
0.65,2.2658,14.206,17.8547,29.9617,30.5934,27.9073,29.714,0.0165
0.655,2.2848,14.2925,18.049,30.0493,30.6321,27.9782,29.9614,0.0183
0.66,2.3056,14.3609,18.1987,29.8862,30.5925,27.9688,29.5666,0.0219
