t_s,x_true_m,y_true_m,z_true_m,x_ekf_m,y_ekf_m,z_ekf_m,xy_error_m
0.0,-0.271,0.3738,0.9908,-0.2252,0.4022,0.9925,0.0
0.005,-0.2711,0.3738,0.9908,-0.2252,0.4023,0.9924,0.0002
0.01,-0.2713,0.3738,0.9908,-0.2253,0.4024,0.9923,0.0003
0.015,-0.2714,0.3738,0.9909,-0.2254,0.4024,0.9922,0.0005
0.02,-0.2716,0.3738,0.9909,-0.2255,0.4024,0.9921,0.0006
0.025,-0.2718,0.3738,0.9909,-0.2255,0.4023,0.9922,0.0008
0.03,-0.2719,0.3738,0.9909,-0.2255,0.4022,0.9922,0.001
0.035,-0.2721,0.3738,0.9909,-0.2256,0.4022,0.9923,0.0011
0.04,-0.2723,0.3738,0.9909,-0.2256,0.4023,0.9922,0.0013
0.045,-0.2724,0.3738,0.9909,-0.2258,0.4023,0.9922,0.0015
0.05,-0.2726,0.3738,0.9908,-0.2259,0.4026,0.9922,0.0016
0.055,-0.2728,0.3738,0.9908,-0.2262,0.4025,0.9922,0.0018
0.06,-0.2729,0.3738,0.9908,-0.2265,0.4024,0.9924,0.002
0.065,-0.2731,0.3739,0.9908,-0.2266,0.4024,0.9925,0.0021
0.07,-0.2733,0.3739,0.9908,-0.2268,0.4024,0.9924,0.0023
0.075,-0.2735,0.3739,0.9908,-0.227,0.4024,0.9924,0.0025
0.08,-0.2736,0.3739,0.9908,-0.227,0.4023,0.9924,0.0027
0.085,-0.2738,0.3739,0.9908,-0.2272,0.4024,0.9925,0.0028
0.09,-0.274,0.3739,0.9908,-0.2274,0.4024,0.9923,0.003
0.095,-0.2742,0.3739,0.9908,-0.2276,0.4026,0.9923,0.0032
0.1,-0.2743,0.3739,0.9908,-0.2276,0.4027,0.9921,0.0034
0.105,-0.2745,0.3739,0.9909,-0.2276,0.4026,0.992,0.0036
0.11,-0.2747,0.3739,0.9909,-0.2278,0.4026,0.9918,0.0037
0.115,-0.2749,0.3739,0.9909,-0.2278,0.4027,0.9917,0.0039
0.12,-0.2751,0.374,0.9909,-0.2278,0.4026,0.9916,0.0041
0.125,-0.2753,0.374,0.9909,-0.228,0.4024,0.992,0.0043
0.13,-0.2754,0.374,0.9909,-0.228,0.4023,0.9922,0.0045
0.135,-0.2756,0.374,0.991,-0.2281,0.4022,0.9923,0.0047
0.14,-0.2758,0.374,0.991,-0.2283,0.4023,0.9922,0.0048
0.145,-0.276,0.374,0.991,-0.2284,0.4022,0.9923,0.005
0.15,-0.2762,0.374,0.9911,-0.2286,0.4023,0.9922,0.0052
0.155,-0.2764,0.374,0.9911,-0.2289,0.4023,0.9923,0.0054
0.16,-0.2766,0.3741,0.9911,-0.2291,0.4025,0.9924,0.0056
0.165,-0.2768,0.3741,0.9912,-0.2294,0.4027,0.9927,0.0058
0.17,-0.277,0.3741,0.9912,-0.2297,0.4028,0.9924,0.006
0.175,-0.2772,0.3741,0.9913,-0.2299,0.4027,0.9927,0.0062
0.18,-0.2774,0.3741,0.9913,-0.2301,0.4027,0.9926,0.0064
0.185,-0.2775,0.3741,0.9914,-0.2301,0.4026,0.9924,0.0066
0.19,-0.2777,0.3742,0.9915,-0.2303,0.4026,0.9922,0.0068
0.195,-0.2779,0.3742,0.9915,-0.2303,0.4026,0.9923,0.007
0.2,-0.2781,0.3742,0.9916,-0.2305,0.4025,0.9922,0.0072
0.205,-0.2783,0.3742,0.9917,-0.2307,0.4023,0.9922,0.0074
0.21,-0.2785,0.3742,0.9917,-0.2307,0.4021,0.9922,0.0076
0.215,-0.2787,0.3742,0.9918,-0.2306,0.402,0.9921,0.0078
0.22,-0.2789,0.3743,0.9919,-0.2308,0.402,0.9923,0.008
0.225,-0.2792,0.3743,0.992,-0.2309,0.4019,0.9924,0.0082
0.23,-0.2794,0.3743,0.9921,-0.231,0.4019,0.9922,0.0084
0.235,-0.2796,0.3743,0.9922,-0.2313,0.4019,0.9926,0.0086
0.24,-0.2798,0.3743,0.9923,-0.2316,0.4021,0.9927,0.0088
0.245,-0.28,0.3744,0.9924,-0.2319,0.4021,0.9926,0.009
0.25,-0.2802,0.3744,0.9925,-0.2322,0.402,0.9927,0.0092
0.255,-0.2804,0.3744,0.9926,-0.2325,0.4019,0.9929,0.0094
0.26,-0.2806,0.3744,0.9927,-0.2326,0.4021,0.9928,0.0096
0.265,-0.2808,0.3745,0.9928,-0.2329,0.402,0.9925,0.0099
0.27,-0.281,0.3745,0.9929,-0.233,0.4019,0.9927,0.0101
0.275,-0.2812,0.3745,0.9931,-0.2333,0.402,0.9928,0.0103
0.28,-0.2814,0.3745,0.9932,-0.2334,0.4019,0.9928,0.0105
0.285,-0.2817,0.3746,0.9933,-0.2337,0.4019,0.9932,0.0107
0.29,-0.2819,0.3746,0.9934,-0.2338,0.4018,0.9931,0.0109
0.295,-0.2821,0.3746,0.9936,-0.2339,0.4016,0.9932,0.0111
0.3,-0.2823,0.3746,0.9937,-0.2341,0.4016,0.9931,0.0114
0.305,-0.2825,0.3746,0.9938,-0.2339,0.4013,0.9934,0.0116
0.31,-0.2827,0.3747,0.9939,-0.234,0.4011,0.9935,0.0118
0.315,-0.283,0.3747,0.9941,-0.2339,0.4011,0.9935,0.012
0.32,-0.2832,0.3747,0.9942,-0.234,0.4012,0.9934,0.0122
0.325,-0.2834,0.3747,0.9943,-0.2341,0.4013,0.9937,0.0125
0.33,-0.2836,0.3748,0.9945,-0.2342,0.4014,0.9936,0.0127
0.335,-0.2838,0.3748,0.9946,-0.2341,0.4015,0.9937,0.0129
0.34,-0.2841,0.3748,0.9948,-0.2341,0.4018,0.9938,0.0131
0.345,-0.2843,0.3749,0.9949,-0.2344,0.4021,0.9936,0.0134
0.35,-0.2845,0.3749,0.995,-0.2347,0.4024,0.9934,0.0136
0.355,-0.2847,0.3749,0.9952,-0.2348,0.4026,0.9937,0.0138
0.36,-0.285,0.3749,0.9953,-0.2349,0.4029,0.9938,0.014
0.365,-0.2852,0.375,0.9954,-0.2353,0.4032,0.9939,0.0143
0.37,-0.2854,0.375,0.9956,-0.2354,0.4034,0.9939,0.0145
0.375,-0.2856,0.375,0.9957,-0.2356,0.4035,0.9941,0.0147
0.38,-0.2859,0.375,0.9958,-0.2357,0.4036,0.9941,0.0149
0.385,-0.2861,0.3751,0.996,-0.2358,0.4033,0.9942,0.0152
0.39,-0.2863,0.3751,0.9961,-0.236,0.4032,0.9943,0.0154
0.395,-0.2866,0.3751,0.9962,-0.2361,0.4031,0.9945,0.0156
0.4,-0.2868,0.3752,0.9964,-0.236,0.4029,0.9948,0.0159
0.405,-0.287,0.3752,0.9965,-0.2362,0.403,0.995,0.0161
0.41,-0.2872,0.3752,0.9966,-0.2361,0.4029,0.9953,0.0163
0.415,-0.2875,0.3752,0.9968,-0.2362,0.4029,0.9952,0.0166
0.42,-0.2877,0.3753,0.9969,-0.2363,0.4029,0.9955,0.0168
0.425,-0.2879,0.3753,0.997,-0.2364,0.4028,0.9957,0.017
0.43,-0.2882,0.3753,0.9972,-0.2365,0.403,0.996,0.0173
0.435,-0.2884,0.3754,0.9973,-0.2366,0.4033,0.9963,0.0175
0.44,-0.2886,0.3754,0.9974,-0.2369,0.4035,0.9966,0.0177
0.445,-0.2889,0.3754,0.9975,-0.2374,0.4038,0.9968,0.018
0.45,-0.2891,0.3755,0.9977,-0.2377,0.4039,0.9969,0.0182
0.455,-0.2893,0.3755,0.9978,-0.238,0.4039,0.9971,0.0184
0.46,-0.2896,0.3755,0.9979,-0.2382,0.4041,0.9973,0.0187
0.465,-0.2898,0.3756,0.998,-0.2384,0.4041,0.9974,0.0189
0.47,-0.29,0.3756,0.9981,-0.2387,0.4041,0.9976,0.0192
0.475,-0.2903,0.3756,0.9982,-0.2388,0.404,0.9976,0.0194
0.48,-0.2905,0.3757,0.9983,-0.2389,0.4039,0.9974,0.0196
0.485,-0.2907,0.3757,0.9984,-0.2388,0.4038,0.9978,0.0199
0.49,-0.291,0.3757,0.9985,-0.2391,0.4037,0.9978,0.0201
0.495,-0.2912,0.3758,0.9986,-0.2392,0.4037,0.9982,0.0203
0.5,-0.2915,0.3758,0.9987,-0.2393,0.4037,0.9982,0.0206
0.505,-0.2917,0.3758,0.9987,-0.2393,0.4038,0.9983,0.0208
0.51,-0.2919,0.3759,0.9988,-0.2392,0.4038,0.9981,0.0211
0.515,-0.2922,0.3759,0.9989,-0.2394,0.4039,0.9984,0.0213
0.52,-0.2924,0.376,0.9989,-0.2393,0.4041,0.9986,0.0215
0.525,-0.2926,0.376,0.999,-0.2395,0.4041,0.9987,0.0218
0.53,-0.2929,0.376,0.9991,-0.2396,0.4044,0.9988,0.022
0.535,-0.2931,0.3761,0.9991,-0.2397,0.4044,0.9989,0.0223
0.54,-0.2934,0.3761,0.9992,-0.2398,0.4044,0.9989,0.0225
0.545,-0.2936,0.3762,0.9992,-0.2401,0.4043,0.9989,0.0227
0.55,-0.2938,0.3762,0.9992,-0.2402,0.4044,0.999,0.023
0.555,-0.2941,0.3763,0.9993,-0.2407,0.4044,0.9993,0.0232
0.56,-0.2943,0.3763,0.9993,-0.2409,0.4044,0.9994,0.0235
0.565,-0.2945,0.3763,0.9993,-0.241,0.4044,0.9995,0.0237
0.57,-0.2948,0.3764,0.9994,-0.2412,0.4043,0.9995,0.0239
0.575,-0.295,0.3764,0.9994,-0.2413,0.4042,0.9991,0.0242
0.58,-0.2952,0.3765,0.9994,-0.2415,0.4041,0.9992,0.0244
0.585,-0.2955,0.3765,0.9994,-0.2415,0.4041,0.9989,0.0247
0.59,-0.2957,0.3766,0.9994,-0.2419,0.4042,0.9991,0.0249
0.595,-0.296,0.3766,0.9994,-0.242,0.4042,0.9991,0.0251
0.6,-0.2962,0.3767,0.9994,-0.2421,0.4044,0.9994,0.0254
0.605,-0.2964,0.3767,0.9995,-0.2423,0.4044,0.9998,0.0256
0.61,-0.2967,0.3768,0.9995,-0.2424,0.4046,0.9998,0.0259
0.615,-0.2969,0.3768,0.9995,-0.2425,0.4046,0.9997,0.0261
0.62,-0.2971,0.3768,0.9995,-0.2428,0.4045,0.9999,0.0263
0.625,-0.2974,0.3769,0.9995,-0.243,0.4046,1.0,0.0266
0.63,-0.2976,0.3769,0.9994,-0.2431,0.4045,1.0005,0.0268
0.635,-0.2978,0.377,0.9994,-0.2434,0.4045,1.0009,0.027
0.64,-0.2981,0.377,0.9994,-0.2434,0.4047,1.0009,0.0273
0.645,-0.2983,0.3771,0.9994,-0.2438,0.4046,1.001,0.0275
0.65,-0.2985,0.3771,0.9994,-0.244,0.4046,1.0008,0.0278
0.655,-0.2988,0.3772,0.9994,-0.2441,0.4047,1.0008,0.028
0.66,-0.299,0.3772,0.9994,-0.2443,0.4047,1.0006,0.0282
0.665,-0.2992,0.3773,0.9994,-0.2447,0.4047,1.0004,0.0285
0.67,-0.2995,0.3774,0.9994,-0.245,0.4048,1.0004,0.0287
0.675,-0.2997,0.3774,0.9993,-0.2453,0.4046,1.0005,0.0289
0.68,-0.2999,0.3775,0.9993,-0.2455,0.4047,1.0006,0.0292
0.685,-0.3001,0.3775,0.9993,-0.2458,0.4047,1.0007,0.0294
0.69,-0.3004,0.3776,0.9993,-0.246,0.4045,1.0006,0.0296
0.695,-0.3006,0.3776,0.9993,-0.2461,0.4047,1.0005,0.0299
0.7,-0.3008,0.3777,0.9992,-0.246,0.4048,1.0003,0.0301
0.705,-0.3011,0.3777,0.9992,-0.2459,0.4048,1.0001,0.0303
0.71,-0.3013,0.3778,0.9992,-0.2459,0.4051,1.0001,0.0306
0.715,-0.3015,0.3778,0.9992,-0.2459,0.4052,0.9999,0.0308
0.72,-0.3017,0.3779,0.9992,-0.2461,0.4053,0.9996,0.031
0.725,-0.302,0.378,0.9992,-0.2463,0.4054,0.9995,0.0313
0.73,-0.3022,0.378,0.9991,-0.2465,0.4054,0.9995,0.0315
0.735,-0.3024,0.3781,0.9991,-0.2468,0.4056,0.9995,0.0317
0.74,-0.3026,0.3781,0.9991,-0.247,0.4057,0.9994,0.032
0.745,-0.3029,0.3782,0.9991,-0.2473,0.4059,0.9997,0.0322
0.75,-0.3031,0.3783,0.9991,-0.2477,0.4061,0.9997,0.0324
0.755,-0.3033,0.3783,0.9991,-0.2478,0.4061,0.9999,0.0326
0.76,-0.3035,0.3784,0.9991,-0.2481,0.4063,0.9998,0.0329
0.765,-0.3037,0.3784,0.9992,-0.2486,0.4064,0.9997,0.0331
0.77,-0.304,0.3785,0.9992,-0.2489,0.4063,0.9996,0.0333
0.775,-0.3042,0.3786,0.9992,-0.2492,0.4063,0.9997,0.0335
0.78,-0.3044,0.3786,0.9992,-0.2492,0.4064,0.9998,0.0338
0.785,-0.3046,0.3787,0.9992,-0.2493,0.4064,0.9999,0.034
0.79,-0.3048,0.3788,0.9993,-0.2495,0.4063,0.9998,0.0342
0.795,-0.305,0.3788,0.9993,-0.2494,0.4063,0.9998,0.0344
0.8,-0.3053,0.3789,0.9994,-0.2495,0.4063,0.9997,0.0347
0.805,-0.3055,0.3789,0.9994,-0.2496,0.4063,0.9999,0.0349
0.81,-0.3057,0.379,0.9994,-0.2498,0.4064,1.0001,0.0351
0.815,-0.3059,0.3791,0.9995,-0.25,0.4066,1.0001,0.0353
0.82,-0.3061,0.3791,0.9995,-0.2504,0.4067,0.9999,0.0356
0.825,-0.3063,0.3792,0.9996,-0.2505,0.407,1.0001,0.0358
0.83,-0.3065,0.3793,0.9997,-0.2506,0.407,1.0002,0.036
0.835,-0.3068,0.3794,0.9997,-0.2508,0.4073,1.0002,0.0362
0.84,-0.307,0.3794,0.9998,-0.2509,0.4073,1.0,0.0364
0.845,-0.3072,0.3795,0.9998,-0.2512,0.4074,1.0,0.0366
0.85,-0.3074,0.3796,0.9999,-0.2516,0.4075,1.0,0.0369
0.855,-0.3076,0.3796,1.0,-0.252,0.4077,1.0,0.0371
0.86,-0.3078,0.3797,1.0,-0.2522,0.4079,1.0,0.0373
0.865,-0.308,0.3798,1.0001,-0.2522,0.408,1.0001,0.0375
0.87,-0.3082,0.3798,1.0002,-0.2525,0.4079,1.0001,0.0377
0.875,-0.3084,0.3799,1.0002,-0.2527,0.4079,1.0003,0.0379
0.88,-0.3086,0.38,1.0003,-0.2528,0.4079,1.0003,0.0382
0.885,-0.3088,0.3801,1.0004,-0.2529,0.408,1.0005,0.0384
0.89,-0.309,0.3801,1.0005,-0.253,0.408,1.0005,0.0386
0.895,-0.3092,0.3802,1.0005,-0.253,0.4079,1.0004,0.0388
0.9,-0.3094,0.3803,1.0006,-0.253,0.4079,1.0006,0.039
0.905,-0.3096,0.3804,1.0007,-0.2529,0.4077,1.0009,0.0392
0.91,-0.3098,0.3804,1.0007,-0.253,0.4076,1.001,0.0394
0.915,-0.31,0.3805,1.0008,-0.253,0.4075,1.0011,0.0396
0.92,-0.3102,0.3806,1.0009,-0.253,0.4073,1.0012,0.0398
0.925,-0.3104,0.3807,1.001,-0.253,0.4075,1.001,0.04
0.93,-0.3106,0.3808,1.001,-0.253,0.4075,1.001,0.0402
0.935,-0.3108,0.3808,1.0011,-0.2534,0.4077,1.0006,0.0404
0.94,-0.311,0.3809,1.0011,-0.2537,0.4078,1.0004,0.0407
0.945,-0.3112,0.381,1.0012,-0.2538,0.4081,1.0004,0.0409
0.95,-0.3114,0.3811,1.0013,-0.254,0.4083,1.0004,0.0411
0.955,-0.3116,0.3811,1.0013,-0.2541,0.4083,1.0004,0.0413
0.96,-0.3118,0.3812,1.0014,-0.2542,0.4085,1.0005,0.0415
0.965,-0.3119,0.3813,1.0014,-0.2543,0.4087,1.0005,0.0417
0.97,-0.3121,0.3814,1.0015,-0.2544,0.4088,1.0006,0.0419
0.975,-0.3123,0.3815,1.0015,-0.2545,0.4088,1.0006,0.0421
0.98,-0.3125,0.3815,1.0015,-0.2546,0.4087,1.0007,0.0422
0.985,-0.3127,0.3816,1.0016,-0.2548,0.4086,1.0008,0.0424
0.99,-0.3129,0.3817,1.0016,-0.2549,0.4085,1.0008,0.0426
0.995,-0.3131,0.3818,1.0017,-0.255,0.4086,1.0008,0.0428
1.0,-0.3132,0.3818,1.0017,-0.2552,0.4086,1.001,0.043
1.005,-0.3134,0.3819,1.0017,-0.2554,0.4085,1.001,0.0432
1.01,-0.3136,0.382,1.0018,-0.2556,0.4084,1.0011,0.0434
1.015,-0.3138,0.3821,1.0018,-0.256,0.4084,1.0009,0.0436
1.02,-0.3139,0.3822,1.0018,-0.256,0.4085,1.0008,0.0438
1.025,-0.3141,0.3822,1.0019,-0.2561,0.4086,1.0009,0.044
1.03,-0.3143,0.3823,1.0019,-0.2562,0.4086,1.0008,0.0442
1.035,-0.3145,0.3824,1.0019,-0.256,0.4087,1.0009,0.0443
1.04,-0.3146,0.3825,1.0019,-0.2561,0.4087,1.0008,0.0445
1.045,-0.3148,0.3826,1.002,-0.2561,0.4087,1.001,0.0447
1.05,-0.315,0.3827,1.002,-0.256,0.4088,1.0009,0.0449
1.055,-0.3152,0.3827,1.002,-0.2561,0.409,1.0009,0.0451
1.06,-0.3153,0.3828,1.002,-0.2561,0.4089,1.0012,0.0453
1.065,-0.3155,0.3829,1.002,-0.2561,0.4089,1.0013,0.0454
1.07,-0.3157,0.383,1.0021,-0.2561,0.4089,1.0013,0.0456
1.075,-0.3158,0.3831,1.0021,-0.2562,0.409,1.0015,0.0458
1.08,-0.316,0.3831,1.0021,-0.2562,0.409,1.0017,0.046
1.085,-0.3161,0.3832,1.0021,-0.2564,0.4088,1.002,0.0461
1.09,-0.3163,0.3833,1.0021,-0.2563,0.4088,1.0021,0.0463
1.095,-0.3165,0.3834,1.0021,-0.2562,0.4088,1.0021,0.0465
1.1,-0.3166,0.3835,1.0021,-0.2563,0.4088,1.0024,0.0467
1.105,-0.3168,0.3835,1.0021,-0.2564,0.409,1.0022,0.0468
1.11,-0.3169,0.3836,1.0021,-0.2566,0.4092,1.0021,0.047
1.115,-0.3171,0.3837,1.0021,-0.2567,0.4092,1.0019,0.0472
1.12,-0.3172,0.3838,1.0021,-0.2571,0.4094,1.0018,0.0473
1.125,-0.3174,0.3839,1.0021,-0.2573,0.4095,1.002,0.0475
1.13,-0.3175,0.3839,1.0021,-0.2576,0.4094,1.0021,0.0477
1.135,-0.3177,0.384,1.0021,-0.2579,0.4094,1.0021,0.0478
1.14,-0.3178,0.3841,1.0021,-0.2579,0.4094,1.0019,0.048
1.145,-0.318,0.3842,1.0021,-0.2581,0.4092,1.0017,0.0481
1.15,-0.3181,0.3843,1.0021,-0.2582,0.4091,1.0019,0.0483
1.155,-0.3183,0.3843,1.0021,-0.2583,0.409,1.0016,0.0485
1.16,-0.3184,0.3844,1.0021,-0.2582,0.409,1.0015,0.0486
1.165,-0.3185,0.3845,1.0021,-0.258,0.409,1.0015,0.0488
1.17,-0.3187,0.3846,1.002,-0.2579,0.409,1.0013,0.0489
1.175,-0.3188,0.3847,1.002,-0.2579,0.409,1.0017,0.0491
1.18,-0.319,0.3848,1.002,-0.2577,0.409,1.0018,0.0492
1.185,-0.3191,0.3848,1.002,-0.2578,0.409,1.0018,0.0494
1.19,-0.3192,0.3849,1.002,-0.2578,0.4091,1.0018,0.0495
1.195,-0.3194,0.385,1.0019,-0.2581,0.4092,1.0017,0.0497
1.2,-0.3195,0.3851,1.0019,-0.2583,0.4092,1.002,0.0498
1.205,-0.3196,0.3851,1.0019,-0.2586,0.4093,1.0019,0.0499
1.21,-0.3197,0.3852,1.0019,-0.2588,0.4093,1.0018,0.0501
1.215,-0.3199,0.3853,1.0019,-0.2589,0.4093,1.0018,0.0502
1.22,-0.32,0.3854,1.0018,-0.259,0.4093,1.0019,0.0504
1.225,-0.3201,0.3855,1.0018,-0.259,0.4096,1.0019,0.0505
1.23,-0.3202,0.3855,1.0018,-0.259,0.4098,1.0017,0.0506
1.235,-0.3203,0.3856,1.0018,-0.259,0.41,1.0017,0.0508
1.24,-0.3205,0.3857,1.0018,-0.2591,0.4102,1.0017,0.0509
1.245,-0.3206,0.3858,1.0017,-0.259,0.4102,1.0018,0.051
1.25,-0.3207,0.3859,1.0017,-0.2589,0.4103,1.002,0.0512
1.255,-0.3208,0.3859,1.0017,-0.2589,0.4102,1.002,0.0513
1.26,-0.3209,0.386,1.0017,-0.2589,0.4103,1.0021,0.0514
1.265,-0.321,0.3861,1.0017,-0.259,0.4103,1.0021,0.0515
1.27,-0.3211,0.3862,1.0016,-0.2591,0.4104,1.002,0.0517
1.275,-0.3212,0.3862,1.0016,-0.2592,0.4103,1.0021,0.0518
1.28,-0.3213,0.3863,1.0016,-0.2593,0.4103,1.002,0.0519
1.285,-0.3214,0.3864,1.0016,-0.2592,0.4103,1.0021,0.052
1.29,-0.3215,0.3865,1.0016,-0.2595,0.4104,1.0018,0.0521
1.295,-0.3216,0.3866,1.0016,-0.2594,0.4104,1.0016,0.0523
1.3,-0.3217,0.3866,1.0015,-0.2594,0.4103,1.0013,0.0524
1.305,-0.3218,0.3867,1.0015,-0.2594,0.4105,1.001,0.0525
1.31,-0.3219,0.3868,1.0015,-0.2595,0.4106,1.001,0.0526
1.315,-0.322,0.3869,1.0015,-0.2592,0.4107,1.0012,0.0527
1.32,-0.3221,0.3869,1.0015,-0.2594,0.4109,1.0013,0.0528
1.325,-0.3222,0.387,1.0015,-0.2592,0.411,1.0011,0.0529
1.33,-0.3223,0.3871,1.0015,-0.2592,0.4111,1.0009,0.053
1.335,-0.3224,0.3872,1.0014,-0.2592,0.4111,1.0009,0.0531
1.34,-0.3225,0.3872,1.0014,-0.2593,0.4113,1.001,0.0532
1.345,-0.3225,0.3873,1.0014,-0.2594,0.4115,1.001,0.0533
1.35,-0.3226,0.3874,1.0014,-0.2595,0.4115,1.0013,0.0534
1.355,-0.3227,0.3875,1.0014,-0.2596,0.4116,1.0015,0.0535
1.36,-0.3228,0.3876,1.0014,-0.2598,0.4117,1.0016,0.0536
1.365,-0.3228,0.3876,1.0014,-0.26,0.4118,1.0014,0.0537
1.37,-0.3229,0.3877,1.0014,-0.2598,0.4118,1.0014,0.0538
1.375,-0.323,0.3878,1.0014,-0.2599,0.4119,1.0014,0.0539
1.38,-0.3231,0.3879,1.0015,-0.26,0.4121,1.0016,0.0539
1.385,-0.3231,0.3879,1.0015,-0.26,0.4121,1.0016,0.054
1.39,-0.3232,0.388,1.0015,-0.26,0.412,1.0016,0.0541
1.395,-0.3232,0.3881,1.0015,-0.2598,0.4121,1.0018,0.0542
1.4,-0.3233,0.3882,1.0015,-0.2597,0.4121,1.0016,0.0543
1.405,-0.3234,0.3882,1.0015,-0.2596,0.412,1.0015,0.0544
1.41,-0.3234,0.3883,1.0015,-0.2595,0.4118,1.0017,0.0544
1.415,-0.3235,0.3884,1.0015,-0.2596,0.412,1.0016,0.0545
1.42,-0.3235,0.3885,1.0015,-0.2594,0.412,1.0016,0.0546
1.425,-0.3236,0.3886,1.0016,-0.2594,0.4121,1.0017,0.0546
1.43,-0.3236,0.3886,1.0016,-0.2594,0.4122,1.0014,0.0547
1.435,-0.3237,0.3887,1.0016,-0.2593,0.4121,1.0016,0.0548
1.44,-0.3237,0.3888,1.0016,-0.2594,0.4124,1.0018,0.0548
1.445,-0.3238,0.3889,1.0016,-0.2596,0.4127,1.0019,0.0549
1.45,-0.3238,0.3889,1.0016,-0.2596,0.4128,1.0019,0.055
1.455,-0.3238,0.389,1.0016,-0.2596,0.4129,1.0019,0.055
1.46,-0.3239,0.3891,1.0016,-0.2596,0.4129,1.002,0.0551
1.465,-0.3239,0.3892,1.0016,-0.2598,0.413,1.002,0.0551
1.47,-0.324,0.3892,1.0016,-0.2597,0.413,1.0021,0.0552
1.475,-0.324,0.3893,1.0016,-0.2598,0.413,1.0017,0.0552
1.48,-0.324,0.3894,1.0016,-0.2599,0.4132,1.0017,0.0553
1.485,-0.324,0.3895,1.0016,-0.2599,0.4132,1.0017,0.0553
1.49,-0.3241,0.3895,1.0016,-0.2597,0.4133,1.0019,0.0554
1.495,-0.3241,0.3896,1.0016,-0.2597,0.4132,1.0017,0.0554
1.5,-0.3241,0.3897,1.0016,-0.2595,0.4134,1.0018,0.0555
1.505,-0.3241,0.3898,1.0016,-0.2592,0.4134,1.0017,0.0555
1.51,-0.3242,0.3899,1.0015,-0.2593,0.4135,1.0015,0.0555
1.515,-0.3242,0.3899,1.0015,-0.2591,0.4135,1.0016,0.0556
1.52,-0.3242,0.39,1.0015,-0.259,0.4137,1.0016,0.0556
1.525,-0.3242,0.3901,1.0015,-0.2589,0.4138,1.0013,0.0557
1.53,-0.3242,0.3902,1.0014,-0.2588,0.414,1.0012,0.0557
1.535,-0.3242,0.3902,1.0014,-0.2589,0.4142,1.0014,0.0557
1.54,-0.3242,0.3903,1.0014,-0.2589,0.4144,1.001,0.0557
1.545,-0.3242,0.3904,1.0014,-0.259,0.4146,1.0008,0.0558
1.55,-0.3242,0.3905,1.0013,-0.2591,0.4147,1.0011,0.0558
1.555,-0.3242,0.3905,1.0013,-0.2591,0.4147,1.0012,0.0558
1.56,-0.3242,0.3906,1.0012,-0.2592,0.4149,1.0013,0.0558
1.565,-0.3242,0.3907,1.0012,-0.2593,0.4148,1.0011,0.0559
1.57,-0.3242,0.3908,1.0012,-0.2594,0.4149,1.0012,0.0559
1.575,-0.3242,0.3908,1.0011,-0.2595,0.4147,1.0013,0.0559
1.58,-0.3242,0.3909,1.0011,-0.2594,0.4145,1.001,0.0559
1.585,-0.3242,0.391,1.001,-0.2596,0.4145,1.0009,0.0559
1.59,-0.3242,0.3911,1.001,-0.2597,0.4144,1.001,0.0559
1.595,-0.3241,0.3911,1.001,-0.2597,0.4144,1.0011,0.0559
1.6,-0.3241,0.3912,1.0009,-0.2597,0.4144,1.0012,0.0559
1.605,-0.3241,0.3913,1.0009,-0.2596,0.4143,1.0012,0.0559
1.61,-0.3241,0.3914,1.0008,-0.2596,0.4146,1.0014,0.0559
1.615,-0.3241,0.3914,1.0008,-0.2595,0.4149,1.0016,0.0559
1.62,-0.324,0.3915,1.0007,-0.2594,0.415,1.0016,0.0559
1.625,-0.324,0.3916,1.0007,-0.2593,0.4153,1.0015,0.0559
1.63,-0.324,0.3917,1.0007,-0.2592,0.4154,1.0016,0.0559
1.635,-0.3239,0.3917,1.0006,-0.2592,0.4155,1.0015,0.0559
1.64,-0.3239,0.3918,1.0006,-0.2593,0.4157,1.0014,0.0559
1.645,-0.3239,0.3919,1.0005,-0.2592,0.4157,1.0012,0.0559
1.65,-0.3238,0.392,1.0005,-0.2591,0.4157,1.0011,0.0559
1.655,-0.3238,0.392,1.0004,-0.2591,0.4156,1.0011,0.0559
1.66,-0.3238,0.3921,1.0004,-0.2591,0.4156,1.0009,0.0559
1.665,-0.3237,0.3922,1.0004,-0.2591,0.4156,1.0009,0.0559
1.67,-0.3237,0.3923,1.0003,-0.2592,0.4157,1.0008,0.0558
1.675,-0.3236,0.3924,1.0003,-0.259,0.4157,1.0004,0.0558
1.68,-0.3236,0.3924,1.0002,-0.2591,0.4157,1.0004,0.0558
1.685,-0.3235,0.3925,1.0002,-0.2591,0.4158,1.0003,0.0558
1.69,-0.3235,0.3926,1.0001,-0.2592,0.4159,1.0002,0.0558
1.695,-0.3234,0.3927,1.0001,-0.2592,0.416,1.0003,0.0557
1.7,-0.3234,0.3927,1.0001,-0.2592,0.4161,1.0002,0.0557
1.705,-0.3233,0.3928,1.0,-0.2592,0.4163,1.0006,0.0557
1.71,-0.3233,0.3929,1.0,-0.2593,0.4165,1.0006,0.0557
1.715,-0.3232,0.3929,1.0,-0.2592,0.4168,1.0003,0.0556
1.72,-0.3231,0.393,1.0,-0.2592,0.417,1.0002,0.0556
1.725,-0.3231,0.3931,0.9999,-0.2592,0.4173,1.0005,0.0556
