run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scene_label,truth
4,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,32.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",206.0,238.5,,gemini,person_near,hazard
5,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.4,244.6,,gemini,person_near,hazard
1,0,patrol,hazard,no person detected; risk=hazard,36.9,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",211.7,248.6,,gemini,wall_close,hazard
2,0,patrol,hazard,no person detected; risk=hazard,36.7,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",219.3,256.0,,gemini,wall_close,hazard
3,0,patrol,hazard,no person detected; risk=hazard,31.4,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",213.9,245.3,,gemini,wall_close,hazard
4,0,patrol,hazard,no person detected; risk=hazard,19.5,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",198.0,217.5,,gemini,wall_close,hazard
5,0,patrol,hazard,no person detected; risk=hazard,37.9,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",215.5,253.4,,gemini,wall_close,hazard
1,0,patrol,safe,no person detected; risk=safe,30.6,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",228.1,258.7,,gemini,object_table,caution
2,0,patrol,safe,no person detected; risk=safe,35.8,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",200.6,236.4,,gemini,object_table,caution
3,0,patrol,safe,no person detected; risk=safe,36.2,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",213.3,249.5,,gemini,object_table,caution
4,0,patrol,safe,no person detected; risk=safe,26.5,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",207.4,233.9,,gemini,object_table,caution
5,0,patrol,safe,no person detected; risk=safe,27.2,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",204.1,231.3,,gemini,object_table,caution
1,0,patrol,safe,no person detected; risk=safe,31.9,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",219.8,251.7,,gemini,dim_light,caution
2,0,patrol,safe,no person detected; risk=safe,18.7,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",203.1,221.8,,gemini,dim_light,caution
3,0,patrol,safe,no person detected; risk=safe,32.4,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",216.3,248.7,,gemini,dim_light,caution
4,0,patrol,safe,no person detected; risk=safe,35.7,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",226.0,261.7,,gemini,dim_light,caution
5,0,patrol,safe,no person detected; risk=safe,35.8,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",231.7,267.5,,gemini,dim_light,caution
1,0,patrol,safe,no person detected; risk=safe,35.4,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",206.6,242.0,,gemini,cluttered,caution
2,0,patrol,safe,no person detected; risk=safe,26.3,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",216.7,243.0,,gemini,cluttered,caution
3,0,patrol,safe,no person detected; risk=safe,36.6,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",217.8,254.4,,gemini,cluttered,caution
4,0,patrol,safe,no person detected; risk=safe,36.7,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",204.7,241.4,,gemini,cluttered,caution
5,0,patrol,safe,no person detected; risk=safe,36.1,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",225.3,261.4,,gemini,cluttered,caution
1,0,patrol,safe,no person detected; risk=safe,36.0,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",207.5,243.5,,gemini,door_open,safe
2,0,patrol,safe,no person detected; risk=safe,37.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",205.2,243.1,,gemini,door_open,safe
3,0,patrol,safe,no person detected; risk=safe,38.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",236.4,275.3,,gemini,door_open,safe
4,0,patrol,safe,no person detected; risk=safe,36.8,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",215.6,252.4,,gemini,door_open,safe
5,0,patrol,safe,no person detected; risk=safe,23.8,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",220.0,243.8,,gemini,door_open,safe
1,0,patrol,hazard,person detected; conf=0.391; risk=hazard,35.5,YOLO detections: none,220.2,255.7,,gemini,person_far,caution
2,0,patrol,hazard,person detected; conf=0.391; risk=hazard,36.9,YOLO detections: none,201.6,238.5,,gemini,person_far,caution
3,0,patrol,hazard,person detected; conf=0.391; risk=hazard,37.2,YOLO detections: none,210.9,248.1,,gemini,person_far,caution
4,0,patrol,hazard,person detected; conf=0.391; risk=hazard,36.1,YOLO detections: none,212.7,248.8,,gemini,person_far,caution
5,0,patrol,hazard,person detected; conf=0.391; risk=hazard,36.3,YOLO detections: none,213.5,249.8,,gemini,person_far,caution
1,0,patrol,hazard,no person detected; risk=hazard,35.9,YOLO detections: none,209.7,245.6,,gemini,blocked_lens,hazard
2,0,patrol,hazard,no person detected; risk=hazard,23.0,YOLO detections: none,203.2,226.2,,gemini,blocked_lens,hazard
3,0,patrol,hazard,no person detected; risk=hazard,33.1,YOLO detections: none,208.1,241.2,,gemini,blocked_lens,hazard
4,0,patrol,hazard,no person detected; risk=hazard,36.7,YOLO detections: none,247.1,283.8,,gemini,blocked_lens,hazard
5,0,patrol,hazard,no person detected; risk=hazard,36.5,YOLO detections: none,208.5,245.0,,gemini,blocked_lens,hazard
