t_ms,z_true_m,z_ekf_m,z_setpoint_m
18800,1.0126,1.0124,1.0
18900,1.0128,1.0127,1.0
19000,1.0118,1.0127,1.0
19100,1.0105,1.0104,1.0
19200,1.011,1.0096,1.0
19300,1.0132,1.0106,1.0
19400,1.0151,1.013,1.0
19500,1.0143,1.0136,1.0
19600,1.0119,1.0138,1.0
19700,1.0102,1.0105,1.0
19800,1.0109,1.0097,1.0
19900,1.013,1.0103,1.0
20000,1.0141,1.0121,1.0
20100,1.0134,1.0122,1.0
20200,1.012,1.0117,1.0
20300,1.0115,1.0102,1.0
20400,1.012,1.0102,1.0
20500,1.0125,1.0105,1.0
20600,1.0119,1.0107,1.0
20700,1.0108,1.0099,1.0
20800,1.0107,1.0087,1.0
20900,1.0117,1.009,1.0
21000,1.0125,1.0105,1.0
21100,1.012,1.0099,1.0
21200,1.011,1.0094,1.0
21300,1.0104,1.0091,1.0
21400,1.0093,1.0091,1.0
21500,1.0073,1.007,1.0
21600,1.0059,1.0054,1.0
21700,1.0054,1.0058,1.0
21800,1.005,1.0044,1.0
21900,1.0048,1.0034,1.0
22000,1.005,1.0037,1.0
22100,1.005,1.005,1.0
22200,1.0036,1.0037,1.0
22300,1.0023,1.0023,1.0
22400,1.0027,1.0009,1.0
22500,1.0043,1.0008,1.0
22600,1.0058,1.0029,1.0
22700,1.0055,1.0046,1.0
22800,1.0046,1.0044,1.0
22900,1.0038,1.0029,1.0
23000,1.0041,1.0025,1.0
23100,1.0049,1.0035,1.0
23200,1.0049,1.0043,1.0
23300,1.0042,1.0031,1.0
23400,1.0047,1.002,1.0
