run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
5,1,patrol,safe,no person detected; risk=safe,33.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",218.9,252.2,,gpt4o_mini,clear_room,door_open
5,2,patrol,safe,no person detected; risk=safe,38.6,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",225.3,263.9,,gpt4o_mini,clear_room,door_open
5,3,patrol,safe,no person detected; risk=safe,19.6,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",222.7,242.3,,gpt4o_mini,clear_room,door_open
1,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.0,246.1,,gpt4o_mini,alert_room,person_near
1,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.9,254.4,,gpt4o_mini,alert_room,person_near
1,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.3,251.1,,gpt4o_mini,alert_room,person_near
1,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",202.6,235.9,,gpt4o_mini,alert_room,person_near
1,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",221.6,254.9,,gpt4o_mini,alert_room,person_near
1,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.6,251.9,,gpt4o_mini,alert_room,person_near
1,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.8,243.1,,gpt4o_mini,alert_room,person_near
