run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
5,0,patrol,safe,no person detected; risk=safe,27.5,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",202.9,230.4,,gpt4o_mini,clear_room,door_open
5,1,patrol,safe,no person detected; risk=safe,35.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",197.3,232.6,,gpt4o_mini,clear_room,door_open
5,2,patrol,safe,no person detected; risk=safe,38.0,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",204.8,242.8,,gpt4o_mini,clear_room,door_open
5,3,patrol,safe,no person detected; risk=safe,38.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",208.6,247.5,,gpt4o_mini,clear_room,door_open
1,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,28.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",195.6,224.0,,gpt4o_mini,alert_room,person_near
1,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",196.6,230.6,,gpt4o_mini,alert_room,person_near
1,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.6,251.5,,gpt4o_mini,alert_room,person_near
1,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,20.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",215.4,236.3,,gpt4o_mini,alert_room,person_near
1,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",231.6,269.9,,gpt4o_mini,alert_room,person_near
1,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,43.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",188.1,231.6,,gpt4o_mini,alert_room,person_near
1,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",198.4,238.3,,gpt4o_mini,alert_room,person_near
1,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",201.5,232.0,,gpt4o_mini,alert_room,person_near
1,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,28.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",201.3,229.5,,gpt4o_mini,alert_room,person_near
1,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,42.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.7,250.8,,gpt4o_mini,alert_room,person_near
1,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,19.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",195.3,214.7,,gpt4o_mini,alert_room,person_near
1,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",229.1,265.6,,gpt4o_mini,alert_room,person_near
1,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",210.1,244.9,,gpt4o_mini,alert_room,person_near
2,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,27.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",207.9,235.2,,gpt4o_mini,alert_room,person_near
2,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,40.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",204.2,244.3,,gpt4o_mini,alert_room,person_near
2,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,18.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.1,227.5,,gpt4o_mini,alert_room,person_near
2,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,20.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.1,237.9,,gpt4o_mini,alert_room,person_near
2,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",203.9,237.6,,gpt4o_mini,alert_room,person_near
2,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",197.7,227.5,,gpt4o_mini,alert_room,person_near
2,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.0,234.8,,gpt4o_mini,alert_room,person_near
2,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.6,244.3,,gpt4o_mini,alert_room,person_near
2,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.4,255.0,,gpt4o_mini,alert_room,person_near
2,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.8,246.0,,gpt4o_mini,alert_room,person_near
2,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.0,241.7,,gpt4o_mini,alert_room,person_near
2,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",202.2,232.1,,gpt4o_mini,alert_room,person_near
2,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.9,256.1,,gpt4o_mini,alert_room,person_near
3,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",203.2,244.9,,gpt4o_mini,alert_room,person_near
3,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.2,243.0,,gpt4o_mini,alert_room,person_near
3,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",203.7,242.7,,gpt4o_mini,alert_room,person_near
3,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",203.1,241.6,,gpt4o_mini,alert_room,person_near
3,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",197.0,226.8,,gpt4o_mini,alert_room,person_near
3,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.4,234.9,,gpt4o_mini,alert_room,person_near
3,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,50.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",199.1,249.7,,gpt4o_mini,alert_room,person_near
3,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,19.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.3,237.4,,gpt4o_mini,alert_room,person_near
3,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",197.0,236.2,,gpt4o_mini,alert_room,person_near
3,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.2,239.6,,gpt4o_mini,alert_room,person_near
3,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,17.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.7,227.5,,gpt4o_mini,alert_room,person_near
3,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.7,250.0,,gpt4o_mini,alert_room,person_near
3,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.5,256.3,,gpt4o_mini,alert_room,person_near
4,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,25.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.6,243.5,,gpt4o_mini,alert_room,person_near
4,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.4,252.3,,gpt4o_mini,alert_room,person_near
4,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.5,243.8,,gpt4o_mini,alert_room,person_near
4,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",203.9,240.2,,gpt4o_mini,alert_room,person_near
4,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.6,245.1,,gpt4o_mini,alert_room,person_near
4,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,40.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",204.7,244.7,,gpt4o_mini,alert_room,person_near
4,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,55.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",207.0,262.6,,gpt4o_mini,alert_room,person_near
4,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",200.5,231.0,,gpt4o_mini,alert_room,person_near
4,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.1,245.9,,gpt4o_mini,alert_room,person_near
4,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,22.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.2,231.8,,gpt4o_mini,alert_room,person_near
4,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,53.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.3,262.5,,gpt4o_mini,alert_room,person_near
4,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,19.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",207.3,226.3,,gpt4o_mini,alert_room,person_near
4,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.7,239.3,,gpt4o_mini,alert_room,person_near
5,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",206.9,242.2,,gpt4o_mini,alert_room,person_near
