run,z_phase1_m,z_final_m,alt_error_cm,correct_target_set,re_armed,re_took_off,alt_reached,tools_before_set,passed,failure_mode,api_calls_ph1,api_calls_ph2,input_tokens,output_tokens,cost_usd,tools_ph2
1,0.509,0.495,70.5,0,0,0,0,0,0,freeze,15,0,76643,1110,0.246579,
2,0.503,0.501,69.9,0,0,0,0,0,0,freeze,15,0,76643,1110,0.246579,
3,0.506,0.503,69.7,0,0,0,0,0,0,freeze,15,0,76937,1125,0.247686,
4,0.502,0.501,69.9,0,0,0,0,0,0,freeze,15,0,76999,1134,0.248007,
5,0.505,0.499,70.1,0,0,0,0,0,0,freeze,15,0,77051,1136,0.248193,
