run,n_plan_steps,had_plan_workflow,n_alt_target_ok,x_range_m,y_range_m,squareness_ratio,total_path_m,dir_changes,plan_ok,alt_ok,refused,passed,api_calls,input_tokens,output_tokens,cost_usd
1,16,1,1,9.428,5.7,0.6046,12.196,0,1,1,0,1,30,126098,765,0.019374
2,16,1,1,9.03,6.213,0.688,12.008,1,1,1,0,1,30,126391,767,0.019418
3,16,1,1,7.847,6.066,0.773,11.122,1,1,1,0,1,30,125780,733,0.019307
4,10,1,1,7.793,9.711,0.8025,14.858,0,1,1,0,1,30,123979,630,0.018974
5,10,1,1,13.416,9.721,0.7246,22.033,1,1,1,0,1,30,125776,711,0.01929
