t_s,z_true_m,z_ekf_m,z_setpoint_m,vz_m_s
11.105,1.3012,1.3028,1.3,0.0021
11.11,1.3012,1.3026,1.3,0.0018
11.115,1.3012,1.3023,1.3,0.0011
11.12,1.3012,1.3022,1.3,0.0012
11.125,1.3012,1.3023,1.3,0.0018
11.13,1.3012,1.3021,1.3,0.0014
11.135,1.3012,1.3025,1.3,0.0027
11.14,1.3011,1.3025,1.3,0.0032
11.145,1.3011,1.3025,1.3,0.0033
11.15,1.3011,1.3024,1.3,0.0035
11.155,1.3011,1.3023,1.3,0.0033
11.16,1.3011,1.3024,1.3,0.004
11.165,1.3011,1.3022,1.3,0.0035
11.17,1.3011,1.3024,1.3,0.0044
11.175,1.3011,1.3025,1.3,0.005
11.18,1.301,1.3025,1.3,0.0053
11.185,1.301,1.3022,1.3,0.0045
11.19,1.301,1.3021,1.3,0.0045
11.195,1.301,1.3022,1.3,0.005
11.2,1.301,1.3021,1.3,0.0046
11.205,1.301,1.3018,1.3,0.0039
11.21,1.301,1.3016,1.3,0.0036
11.215,1.3009,1.3019,1.3,0.0047
11.22,1.3009,1.3021,1.3,0.0054
11.225,1.3009,1.3018,1.3,0.0045
11.23,1.3009,1.3016,1.3,0.0041
11.235,1.3009,1.3016,1.3,0.0041
11.24,1.3008,1.3017,1.3,0.0044
11.245,1.3008,1.3018,1.3,0.0049
11.25,1.3008,1.3019,1.3,0.0052
11.255,1.3008,1.3019,1.3,0.005
11.26,1.3008,1.3019,1.3,0.0051
11.265,1.3007,1.3018,1.3,0.005
11.27,1.3007,1.3019,1.3,0.0053
11.275,1.3007,1.302,1.3,0.0056
11.28,1.3007,1.302,1.3,0.0055
11.285,1.3006,1.3021,1.3,0.0058
11.29,1.3006,1.3021,1.3,0.006
11.295,1.3006,1.3022,1.3,0.0062
11.3,1.3006,1.3022,1.3,0.0061
11.305,1.3005,1.3021,1.3,0.0057
11.31,1.3005,1.302,1.3,0.0054
11.315,1.3005,1.3021,1.3,0.0057
11.32,1.3004,1.3022,1.3,0.006
11.325,1.3004,1.302,1.3,0.0052
11.33,1.3004,1.302,1.3,0.0051
11.335,1.3003,1.302,1.3,0.0048
11.34,1.3003,1.3019,1.3,0.0044
11.345,1.3003,1.3019,1.3,0.0044
11.35,1.3002,1.3019,1.3,0.0041
11.355,1.3002,1.3015,1.3,0.0027
11.36,1.3001,1.3014,1.3,0.0022
11.365,1.3001,1.3015,1.3,0.0023
11.37,1.3,1.3013,1.3,0.0016
11.375,1.3,1.3013,1.3,0.0016
11.38,1.2999,1.3012,1.3,0.0012
11.385,1.2999,1.301,1.3,0.0004
11.39,1.2998,1.3008,1.3,-0.0003
11.395,1.2998,1.3008,1.3,-0.0004
11.4,1.2998,1.3008,1.3,-0.0004
11.405,1.2997,1.3005,1.3,-0.0013
11.41,1.2997,1.3005,1.3,-0.0011
11.415,1.2996,1.3004,1.3,-0.0016
11.42,1.2996,1.3004,1.3,-0.0014
11.425,1.2995,1.3004,1.3,-0.0013
11.43,1.2995,1.3001,1.3,-0.0023
11.435,1.2995,1.3002,1.3,-0.0015
11.44,1.2994,1.3003,1.3,-0.0013
11.445,1.2994,1.3002,1.3,-0.0015
11.45,1.2994,1.3002,1.3,-0.001
11.455,1.2994,1.3,1.3,-0.0013
11.46,1.2993,1.2998,1.3,-0.0018
11.465,1.2993,1.2999,1.3,-0.001
11.47,1.2993,1.2996,1.3,-0.0015
11.475,1.2993,1.2998,1.3,-0.0008
11.48,1.2993,1.2998,1.3,-0.0004
11.485,1.2993,1.3,1.3,0.0008
11.49,1.2993,1.3,1.3,0.0013
11.495,1.2993,1.2999,1.3,0.0014
11.5,1.2993,1.3001,1.3,0.0023
11.505,1.2993,1.3001,1.3,0.0029
11.51,1.2993,1.3001,1.3,0.0033
11.515,1.2993,1.2999,1.3,0.0033
11.52,1.2993,1.2999,1.3,0.0039
11.525,1.2993,1.2998,1.3,0.0039
11.53,1.2994,1.3001,1.3,0.0054
11.535,1.2994,1.3,1.3,0.0053
11.54,1.2994,1.2997,1.3,0.0048
11.545,1.2994,1.2998,1.3,0.0055
11.55,1.2994,1.2997,1.3,0.0057
11.555,1.2995,1.2998,1.3,0.0062
11.56,1.2995,1.3001,1.3,0.0072
11.565,1.2995,1.3001,1.3,0.0074
11.57,1.2995,1.3001,1.3,0.0079
11.575,1.2995,1.3003,1.3,0.0089
11.58,1.2996,1.3005,1.3,0.0097
11.585,1.2996,1.3005,1.3,0.0101
11.59,1.2996,1.3004,1.3,0.01
11.595,1.2996,1.3005,1.3,0.0106
11.6,1.2996,1.3004,1.3,0.0106
11.605,1.2997,1.3005,1.3,0.0109
11.61,1.2997,1.3007,1.3,0.0116
11.615,1.2997,1.3006,1.3,0.0117
11.62,1.2997,1.3007,1.3,0.012
11.625,1.2997,1.3008,1.3,0.0122
11.63,1.2997,1.3007,1.3,0.0119
11.635,1.2997,1.3007,1.3,0.0121
11.64,1.2997,1.3008,1.3,0.0124
11.645,1.2997,1.3008,1.3,0.0122
11.65,1.2997,1.3008,1.3,0.0122
11.655,1.2997,1.3007,1.3,0.0119
11.66,1.2997,1.301,1.3,0.0127
11.665,1.2997,1.3011,1.3,0.0127
11.67,1.2996,1.3011,1.3,0.0125
11.675,1.2996,1.3015,1.3,0.0136
11.68,1.2996,1.3016,1.3,0.0135
11.685,1.2996,1.3015,1.3,0.0131
11.69,1.2995,1.3013,1.3,0.012
11.695,1.2995,1.3013,1.3,0.0119
11.7,1.2995,1.3012,1.3,0.0114
11.705,1.2994,1.3009,1.3,0.0101
11.71,1.2994,1.3011,1.3,0.0103
11.715,1.2993,1.3013,1.3,0.0107
11.72,1.2993,1.3014,1.3,0.0107
11.725,1.2992,1.3016,1.3,0.011
11.73,1.2992,1.3014,1.3,0.0097
11.735,1.2991,1.301,1.3,0.0081
11.74,1.299,1.3008,1.3,0.0069
11.745,1.299,1.3007,1.3,0.0064
11.75,1.2989,1.3004,1.3,0.0051
11.755,1.2988,1.3005,1.3,0.0049
11.76,1.2987,1.3003,1.3,0.004
11.765,1.2987,1.3003,1.3,0.0037
11.77,1.2986,1.3,1.3,0.0025
11.775,1.2985,1.2997,1.3,0.0013
11.78,1.2984,1.2995,1.3,0.0001
11.785,1.2983,1.2993,1.3,-0.0006
11.79,1.2983,1.2994,1.3,-0.0006
11.795,1.2982,1.2995,1.3,-0.0006
11.8,1.2981,1.2993,1.3,-0.0012
11.805,1.298,1.2994,1.3,-0.0011
11.81,1.2979,1.2992,1.3,-0.002
11.815,1.2979,1.2989,1.3,-0.0031
11.82,1.2978,1.2987,1.3,-0.0038
11.825,1.2977,1.2988,1.3,-0.0034
11.83,1.2977,1.299,1.3,-0.0031
11.835,1.2976,1.2989,1.3,-0.0033
11.84,1.2976,1.2988,1.3,-0.0034
11.845,1.2975,1.2987,1.3,-0.0038
11.85,1.2975,1.2987,1.3,-0.0039
11.855,1.2974,1.2983,1.3,-0.0049
11.86,1.2974,1.2983,1.3,-0.005
11.865,1.2973,1.2982,1.3,-0.005
11.87,1.2973,1.2981,1.3,-0.0052
11.875,1.2973,1.2981,1.3,-0.005
11.88,1.2973,1.2981,1.3,-0.0048
11.885,1.2972,1.2981,1.3,-0.0044
11.89,1.2972,1.2979,1.3,-0.0046
11.895,1.2972,1.2977,1.3,-0.0049
11.9,1.2972,1.2975,1.3,-0.0051
11.905,1.2972,1.2972,1.3,-0.0057
11.91,1.2972,1.2973,1.3,-0.0049
11.915,1.2973,1.2972,1.3,-0.005
11.92,1.2973,1.297,1.3,-0.005
11.925,1.2973,1.2967,1.3,-0.0054
11.93,1.2973,1.2967,1.3,-0.0048
11.935,1.2974,1.2965,1.3,-0.0048
11.94,1.2974,1.2962,1.3,-0.0054
11.945,1.2975,1.2961,1.3,-0.005
11.95,1.2975,1.2961,1.3,-0.0044
11.955,1.2976,1.2962,1.3,-0.0037
11.96,1.2977,1.2964,1.3,-0.0023
11.965,1.2978,1.2963,1.3,-0.0019
11.97,1.2979,1.2963,1.3,-0.001
11.975,1.2979,1.2963,1.3,-0.0002
11.98,1.298,1.2962,1.3,0.0002
11.985,1.2981,1.2962,1.3,0.0012
11.99,1.2983,1.2965,1.3,0.0029
11.995,1.2984,1.2966,1.3,0.0042
12.0,1.2985,1.2967,1.3,0.0055
12.005,1.2986,1.297,1.3,0.0071
12.01,1.2988,1.297,1.3,0.0079
12.015,1.2989,1.2971,1.3,0.0089
12.02,1.299,1.297,1.3,0.0096
12.025,1.2992,1.2973,1.3,0.0111
12.03,1.2993,1.2974,1.3,0.0122
12.035,1.2994,1.2972,1.3,0.0122
12.04,1.2996,1.2972,1.3,0.0129
12.045,1.2997,1.2977,1.3,0.0148
12.05,1.2999,1.2977,1.3,0.0153
12.055,1.3,1.2979,1.3,0.0163
12.06,1.3002,1.2981,1.3,0.0173
12.065,1.3003,1.2982,1.3,0.0178
12.07,1.3005,1.2983,1.3,0.0184
12.075,1.3006,1.2988,1.3,0.0199
12.08,1.3007,1.2988,1.3,0.02
12.085,1.3009,1.2988,1.3,0.02
12.09,1.301,1.2989,1.3,0.0199
12.095,1.3011,1.299,1.3,0.0203
12.1,1.3013,1.2993,1.3,0.0208
12.105,1.3014,1.2995,1.3,0.021
12.11,1.3015,1.2996,1.3,0.021
12.115,1.3016,1.2999,1.3,0.0214
12.12,1.3017,1.3001,1.3,0.0215
12.125,1.3018,1.3001,1.3,0.0212
12.13,1.3019,1.3004,1.3,0.0215
12.135,1.302,1.3005,1.3,0.0209
12.14,1.3021,1.3007,1.3,0.021
12.145,1.3022,1.3007,1.3,0.0202
12.15,1.3023,1.3007,1.3,0.0194
12.155,1.3023,1.3011,1.3,0.0197
12.16,1.3024,1.301,1.3,0.0186
12.165,1.3024,1.3012,1.3,0.0185
12.17,1.3025,1.3013,1.3,0.0182
12.175,1.3025,1.3014,1.3,0.0174
12.18,1.3026,1.3012,1.3,0.016
12.185,1.3026,1.3013,1.3,0.0157
12.19,1.3026,1.3014,1.3,0.015
12.195,1.3026,1.3018,1.3,0.0155
12.2,1.3026,1.3021,1.3,0.0157
12.205,1.3026,1.302,1.3,0.0145
12.21,1.3026,1.302,1.3,0.0138
12.215,1.3026,1.302,1.3,0.0131
12.22,1.3026,1.3023,1.3,0.0132
12.225,1.3026,1.3026,1.3,0.0133
12.23,1.3026,1.3025,1.3,0.0119
12.235,1.3026,1.3024,1.3,0.0108
12.24,1.3025,1.3023,1.3,0.0098
12.245,1.3025,1.3022,1.3,0.0084
12.25,1.3024,1.3023,1.3,0.0078
12.255,1.3024,1.3024,1.3,0.0074
12.26,1.3023,1.3025,1.3,0.0069
12.265,1.3023,1.3025,1.3,0.0059
12.27,1.3022,1.3023,1.3,0.0046
12.275,1.3022,1.302,1.3,0.0032
12.28,1.3021,1.3022,1.3,0.0032
12.285,1.302,1.3024,1.3,0.003
12.29,1.3019,1.3026,1.3,0.0031
12.295,1.3019,1.3024,1.3,0.0021
12.3,1.3018,1.3026,1.3,0.002
12.305,1.3017,1.3026,1.3,0.0017
12.31,1.3016,1.3027,1.3,0.0014
12.315,1.3016,1.3025,1.3,0.0004
12.32,1.3015,1.3026,1.3,0.0001
12.325,1.3014,1.3024,1.3,-0.0009
12.33,1.3013,1.3022,1.3,-0.0018
12.335,1.3013,1.3024,1.3,-0.0014
12.34,1.3012,1.3024,1.3,-0.0017
12.345,1.3011,1.3023,1.3,-0.0023
12.35,1.301,1.3021,1.3,-0.0029
12.355,1.301,1.3021,1.3,-0.0031
12.36,1.3009,1.302,1.3,-0.0038
12.365,1.3008,1.3018,1.3,-0.0045
12.37,1.3007,1.3017,1.3,-0.0047
12.375,1.3007,1.3016,1.3,-0.0053
12.38,1.3006,1.3013,1.3,-0.0061
12.385,1.3005,1.3017,1.3,-0.005
12.39,1.3005,1.3015,1.3,-0.0054
12.395,1.3004,1.3014,1.3,-0.0059
12.4,1.3004,1.3014,1.3,-0.0056
12.405,1.3003,1.3014,1.3,-0.0054
12.41,1.3003,1.3012,1.3,-0.0058
12.415,1.3002,1.3008,1.3,-0.0068
12.42,1.3002,1.301,1.3,-0.0057
12.425,1.3001,1.3008,1.3,-0.006
12.43,1.3001,1.3006,1.3,-0.006
12.435,1.3001,1.3006,1.3,-0.0055
12.44,1.3001,1.3005,1.3,-0.0051
12.445,1.3,1.3005,1.3,-0.0046
12.45,1.3,1.3004,1.3,-0.0042
12.455,1.3,1.3002,1.3,-0.0042
12.46,1.3,1.3001,1.3,-0.0039
12.465,1.3,1.3,1.3,-0.0039
12.47,1.3,1.3,1.3,-0.0033
12.475,1.3,1.3,1.3,-0.0025
12.48,1.3,1.3001,1.3,-0.0019
12.485,1.3,1.2999,1.3,-0.0018
12.49,1.3,1.2998,1.3,-0.0019
12.495,1.3001,1.2994,1.3,-0.0024
12.5,1.3001,1.2993,1.3,-0.002
12.505,1.3001,1.2994,1.3,-0.0013
12.51,1.3001,1.2992,1.3,-0.0013
12.515,1.3002,1.2994,1.3,-0.0001
12.52,1.3002,1.2992,1.3,-0.0003
12.525,1.3002,1.2991,1.3,-0.0002
12.53,1.3003,1.2989,1.3,-0.0002
12.535,1.3003,1.2988,1.3,-0.0
12.54,1.3004,1.2991,1.3,0.0016
12.545,1.3004,1.2992,1.3,0.0022
12.55,1.3005,1.2993,1.3,0.003
12.555,1.3006,1.299,1.3,0.0026
12.56,1.3006,1.2991,1.3,0.0035
12.565,1.3007,1.2994,1.3,0.0048
12.57,1.3007,1.2991,1.3,0.0046
12.575,1.3008,1.2992,1.3,0.0051
12.58,1.3009,1.2994,1.3,0.0061
12.585,1.301,1.2998,1.3,0.0078
12.59,1.301,1.2997,1.3,0.0079
12.595,1.3011,1.2998,1.3,0.0083
12.6,1.3012,1.3,1.3,0.0092
12.605,1.3013,1.3002,1.3,0.01
12.61,1.3013,1.3002,1.3,0.0102
12.615,1.3014,1.3004,1.3,0.011
12.62,1.3015,1.3005,1.3,0.0115
12.625,1.3016,1.3006,1.3,0.0119
12.63,1.3016,1.3003,1.3,0.0106
12.635,1.3017,1.3004,1.3,0.0111
12.64,1.3018,1.3003,1.3,0.0107
12.645,1.3018,1.3003,1.3,0.0106
12.65,1.3019,1.3003,1.3,0.0105
12.655,1.302,1.3004,1.3,0.0106
12.66,1.302,1.3002,1.3,0.01
12.665,1.3021,1.3005,1.3,0.0107
12.67,1.3021,1.3005,1.3,0.0104
12.675,1.3022,1.3003,1.3,0.0098
12.68,1.3022,1.3005,1.3,0.0102
12.685,1.3023,1.3006,1.3,0.01
12.69,1.3023,1.3006,1.3,0.0097
12.695,1.3024,1.3007,1.3,0.0096
12.7,1.3024,1.301,1.3,0.0099
12.705,1.3025,1.3008,1.3,0.009
12.71,1.3025,1.301,1.3,0.0092
12.715,1.3025,1.3012,1.3,0.0094
12.72,1.3026,1.3012,1.3,0.009
12.725,1.3026,1.3013,1.3,0.0086
12.73,1.3026,1.3018,1.3,0.0096
12.735,1.3026,1.3018,1.3,0.009
12.74,1.3026,1.3019,1.3,0.0086
12.745,1.3027,1.3018,1.3,0.0077
12.75,1.3027,1.3017,1.3,0.0071
12.755,1.3027,1.3018,1.3,0.0066
12.76,1.3027,1.302,1.3,0.007
12.765,1.3027,1.3021,1.3,0.0068
12.77,1.3027,1.302,1.3,0.0059
12.775,1.3027,1.302,1.3,0.0052
12.78,1.3027,1.3022,1.3,0.0054
12.785,1.3027,1.3022,1.3,0.005
12.79,1.3027,1.3021,1.3,0.0041
12.795,1.3027,1.3021,1.3,0.0037
12.8,1.3027,1.302,1.3,0.003
12.805,1.3027,1.3022,1.3,0.0034
12.81,1.3026,1.3022,1.3,0.0029
12.815,1.3026,1.3023,1.3,0.0029
12.82,1.3026,1.3022,1.3,0.002
12.825,1.3026,1.3022,1.3,0.0016
12.83,1.3026,1.3022,1.3,0.0011
12.835,1.3026,1.3021,1.3,0.0003
12.84,1.3026,1.3021,1.3,-0.0002
12.845,1.3025,1.3022,1.3,-0.0002
12.85,1.3025,1.3021,1.3,-0.0009
12.855,1.3025,1.3022,1.3,-0.0012
12.86,1.3025,1.3023,1.3,-0.0009
12.865,1.3025,1.3019,1.3,-0.0028
12.87,1.3025,1.3019,1.3,-0.0027
12.875,1.3025,1.3018,1.3,-0.0031
12.88,1.3024,1.3019,1.3,-0.0028
12.885,1.3024,1.3021,1.3,-0.0025
12.89,1.3024,1.3016,1.3,-0.0037
12.895,1.3024,1.3018,1.3,-0.0033
12.9,1.3024,1.3016,1.3,-0.0036
12.905,1.3024,1.3015,1.3,-0.0036
12.91,1.3024,1.3017,1.3,-0.0029
12.915,1.3024,1.3015,1.3,-0.0031
12.92,1.3024,1.3018,1.3,-0.0022
12.925,1.3024,1.3018,1.3,-0.002
12.93,1.3024,1.3017,1.3,-0.002
12.935,1.3024,1.3018,1.3,-0.0016
12.94,1.3025,1.3018,1.3,-0.0011
12.945,1.3025,1.3019,1.3,-0.0005
12.95,1.3025,1.3024,1.3,0.0015
12.955,1.3025,1.3023,1.3,0.0017
12.96,1.3025,1.3023,1.3,0.0022
12.965,1.3026,1.3025,1.3,0.0032
12.97,1.3026,1.3024,1.3,0.0033
12.975,1.3026,1.3025,1.3,0.0038
12.98,1.3026,1.3026,1.3,0.0044
12.985,1.3027,1.3025,1.3,0.0044
12.99,1.3027,1.3025,1.3,0.0045
12.995,1.3027,1.3028,1.3,0.0057
13.0,1.3027,1.3028,1.3,0.006
13.005,1.3028,1.3028,1.3,0.0061
13.01,1.3028,1.303,1.3,0.007
13.015,1.3028,1.3032,1.3,0.0079
13.02,1.3028,1.303,1.3,0.0071
13.025,1.3028,1.3027,1.3,0.006
13.03,1.3029,1.3029,1.3,0.0065
13.035,1.3029,1.3029,1.3,0.0066
13.04,1.3029,1.3029,1.3,0.0066
13.045,1.3029,1.3029,1.3,0.0063
13.05,1.3029,1.3029,1.3,0.0064
13.055,1.3029,1.3027,1.3,0.0055
13.06,1.3029,1.3027,1.3,0.0054
13.065,1.3029,1.3029,1.3,0.0059
13.07,1.3029,1.3029,1.3,0.0057
13.075,1.3029,1.3032,1.3,0.0064
13.08,1.3029,1.3029,1.3,0.0053
13.085,1.3029,1.3028,1.3,0.0049
13.09,1.3029,1.3029,1.3,0.0049
13.095,1.3028,1.3027,1.3,0.004
13.1,1.3028,1.3026,1.3,0.0036
13.105,1.3028,1.3024,1.3,0.0028
13.11,1.3028,1.3026,1.3,0.003
13.115,1.3027,1.3024,1.3,0.0025
13.12,1.3027,1.3024,1.3,0.0023
13.125,1.3027,1.3027,1.3,0.003
13.13,1.3027,1.3028,1.3,0.0031
13.135,1.3026,1.3026,1.3,0.0023
13.14,1.3026,1.3024,1.3,0.0016
13.145,1.3026,1.3025,1.3,0.0017
13.15,1.3025,1.3023,1.3,0.0012
13.155,1.3025,1.3022,1.3,0.0007
13.16,1.3025,1.3021,1.3,0.0003
13.165,1.3024,1.3021,1.3,0.0001
13.17,1.3024,1.3017,1.3,-0.0012
13.175,1.3024,1.3016,1.3,-0.0016
13.18,1.3023,1.3016,1.3,-0.0015
13.185,1.3023,1.3019,1.3,-0.0007
13.19,1.3023,1.3019,1.3,-0.0009
13.195,1.3022,1.3017,1.3,-0.0014
13.2,1.3022,1.3015,1.3,-0.0022
13.205,1.3022,1.3012,1.3,-0.003
13.21,1.3022,1.3015,1.3,-0.0021
13.215,1.3021,1.3014,1.3,-0.0021
13.22,1.3021,1.3016,1.3,-0.0015
13.225,1.3021,1.3014,1.3,-0.0021
13.23,1.3021,1.3014,1.3,-0.0019
13.235,1.302,1.3016,1.3,-0.0013
13.24,1.302,1.3014,1.3,-0.0016
13.245,1.302,1.3015,1.3,-0.0013
13.25,1.302,1.3013,1.3,-0.0015
13.255,1.302,1.3015,1.3,-0.0007
13.26,1.302,1.3016,1.3,-0.0001
13.265,1.302,1.3015,1.3,-0.0001
13.27,1.302,1.3018,1.3,0.0008
13.275,1.302,1.3018,1.3,0.0009
13.28,1.302,1.3016,1.3,0.0004
13.285,1.302,1.3018,1.3,0.0012
13.29,1.302,1.3018,1.3,0.0012
13.295,1.302,1.3017,1.3,0.0009
13.3,1.302,1.3017,1.3,0.0011
13.305,1.302,1.3018,1.3,0.0016
13.31,1.302,1.302,1.3,0.0021
13.315,1.302,1.3016,1.3,0.0012
13.32,1.302,1.3017,1.3,0.0014
13.325,1.302,1.3019,1.3,0.0022
13.33,1.302,1.3018,1.3,0.002
13.335,1.3021,1.3018,1.3,0.0023
13.34,1.3021,1.3018,1.3,0.0022
13.345,1.3021,1.302,1.3,0.0031
13.35,1.3021,1.302,1.3,0.0032
13.355,1.3021,1.3022,1.3,0.0038
13.36,1.3021,1.3022,1.3,0.0039
13.365,1.3021,1.3021,1.3,0.0037
13.37,1.3021,1.3024,1.3,0.0047
13.375,1.3021,1.3026,1.3,0.0056
13.38,1.3021,1.3025,1.3,0.0057
13.385,1.3022,1.3027,1.3,0.0062
13.39,1.3022,1.3027,1.3,0.0064
13.395,1.3022,1.3024,1.3,0.0056
13.4,1.3022,1.3021,1.3,0.0048
13.405,1.3022,1.3021,1.3,0.0052
13.41,1.3022,1.302,1.3,0.005
13.415,1.3022,1.3019,1.3,0.0047
13.42,1.3022,1.3018,1.3,0.0046
13.425,1.3022,1.3019,1.3,0.005
13.43,1.3022,1.3022,1.3,0.0061
13.435,1.3021,1.3021,1.3,0.0058
13.44,1.3021,1.302,1.3,0.0056
13.445,1.3021,1.3018,1.3,0.005
13.45,1.3021,1.302,1.3,0.0051
13.455,1.3021,1.302,1.3,0.005
13.46,1.3021,1.3021,1.3,0.0053
13.465,1.3021,1.3021,1.3,0.0053
13.47,1.302,1.3021,1.3,0.0051
13.475,1.302,1.3022,1.3,0.0051
13.48,1.302,1.3021,1.3,0.0047
13.485,1.302,1.3021,1.3,0.0046
13.49,1.302,1.3019,1.3,0.004
13.495,1.3019,1.3017,1.3,0.0035
13.5,1.3019,1.3018,1.3,0.0037
13.505,1.3019,1.302,1.3,0.0044
13.51,1.3018,1.3023,1.3,0.0052
13.515,1.3018,1.3022,1.3,0.0048
13.52,1.3018,1.302,1.3,0.0039
13.525,1.3017,1.3022,1.3,0.0041
13.53,1.3017,1.302,1.3,0.0034
13.535,1.3017,1.3019,1.3,0.0029
13.54,1.3016,1.3019,1.3,0.0025
13.545,1.3016,1.3018,1.3,0.002
13.55,1.3016,1.3018,1.3,0.0021
13.555,1.3015,1.3018,1.3,0.0018
13.56,1.3015,1.3017,1.3,0.0017
13.565,1.3014,1.3018,1.3,0.002
13.57,1.3014,1.302,1.3,0.0026
13.575,1.3014,1.3021,1.3,0.0027
13.58,1.3013,1.302,1.3,0.0022
13.585,1.3013,1.3019,1.3,0.0018
13.59,1.3012,1.3016,1.3,0.0008
13.595,1.3012,1.3016,1.3,0.0008
13.6,1.3011,1.302,1.3,0.0017
13.605,1.3011,1.302,1.3,0.0017
13.61,1.3011,1.302,1.3,0.0015
13.615,1.301,1.3016,1.3,0.0002
13.62,1.301,1.3015,1.3,-0.0003
13.625,1.3009,1.3012,1.3,-0.0015
13.63,1.3009,1.3011,1.3,-0.0019
13.635,1.3009,1.3013,1.3,-0.0014
13.64,1.3008,1.3013,1.3,-0.0014
13.645,1.3008,1.3014,1.3,-0.0009
13.65,1.3007,1.3014,1.3,-0.0012
13.655,1.3007,1.3013,1.3,-0.0013
13.66,1.3007,1.3017,1.3,0.0001
13.665,1.3006,1.3013,1.3,-0.001
13.67,1.3006,1.3013,1.3,-0.0009
13.675,1.3006,1.3012,1.3,-0.0012
13.68,1.3006,1.3012,1.3,-0.001
13.685,1.3005,1.301,1.3,-0.0014
13.69,1.3005,1.301,1.3,-0.0014
13.695,1.3005,1.3008,1.3,-0.0019
13.7,1.3004,1.3009,1.3,-0.0012
13.705,1.3004,1.301,1.3,-0.0008
13.71,1.3004,1.3012,1.3,0.0004
13.715,1.3004,1.3012,1.3,0.0007
13.72,1.3004,1.3012,1.3,0.0009
13.725,1.3004,1.3012,1.3,0.0012
13.73,1.3003,1.3011,1.3,0.0013
13.735,1.3003,1.3015,1.3,0.0027
13.74,1.3003,1.3017,1.3,0.0038
13.745,1.3003,1.3018,1.3,0.0041
13.75,1.3003,1.3017,1.3,0.0043
13.755,1.3003,1.3016,1.3,0.004
13.76,1.3003,1.3016,1.3,0.0043
13.765,1.3003,1.3015,1.3,0.0044
13.77,1.3003,1.3019,1.3,0.0057
13.775,1.3003,1.302,1.3,0.0065
13.78,1.3002,1.3023,1.3,0.0075
13.785,1.3002,1.3023,1.3,0.0078
13.79,1.3002,1.3024,1.3,0.0083
13.795,1.3002,1.3022,1.3,0.008
13.8,1.3002,1.3024,1.3,0.0087
13.805,1.3002,1.3024,1.3,0.0087
13.81,1.3002,1.3021,1.3,0.0078
13.815,1.3001,1.3021,1.3,0.008
13.82,1.3001,1.3019,1.3,0.0074
13.825,1.3001,1.3021,1.3,0.0079
13.83,1.3,1.302,1.3,0.0074
13.835,1.3,1.3018,1.3,0.0067
13.84,1.3,1.3018,1.3,0.0067
13.845,1.2999,1.3019,1.3,0.0065
13.85,1.2999,1.302,1.3,0.0067
13.855,1.2998,1.3018,1.3,0.0055
13.86,1.2998,1.3018,1.3,0.0056
13.865,1.2998,1.3019,1.3,0.0055
13.87,1.2997,1.3018,1.3,0.0049
13.875,1.2996,1.3015,1.3,0.0038
13.88,1.2996,1.3014,1.3,0.0033
13.885,1.2995,1.3014,1.3,0.0029
13.89,1.2995,1.3012,1.3,0.0021
13.895,1.2994,1.3011,1.3,0.0015
13.9,1.2993,1.3013,1.3,0.0017
13.905,1.2993,1.3011,1.3,0.0011
13.91,1.2992,1.3011,1.3,0.0008
13.915,1.2992,1.3012,1.3,0.0009
13.92,1.2991,1.3012,1.3,0.0007
13.925,1.299,1.3011,1.3,0.0002
13.93,1.299,1.3012,1.3,0.0001
13.935,1.2989,1.3008,1.3,-0.0012
13.94,1.2988,1.3008,1.3,-0.0015
13.945,1.2988,1.3009,1.3,-0.0011
13.95,1.2987,1.3007,1.3,-0.0019
13.955,1.2986,1.3006,1.3,-0.0022
13.96,1.2986,1.3002,1.3,-0.0035
13.965,1.2985,1.3002,1.3,-0.0035
13.97,1.2985,1.3003,1.3,-0.0033
13.975,1.2984,1.3002,1.3,-0.0035
13.98,1.2984,1.3003,1.3,-0.0033
13.985,1.2983,1.3001,1.3,-0.0037
13.99,1.2983,1.3,1.3,-0.0039
13.995,1.2982,1.3,1.3,-0.0038
14.0,1.2982,1.3001,1.6,-0.0034
14.005,1.2982,1.2999,1.6,-0.0036
14.01,1.2981,1.2999,1.6,-0.003
14.015,1.2981,1.2996,1.6,-0.0029
14.02,1.2982,1.2996,1.6,-0.0013
14.025,1.2983,1.2996,1.6,0.0004
14.03,1.2985,1.2996,1.6,0.003
14.035,1.2987,1.2994,1.6,0.0053
14.04,1.299,1.2994,1.6,0.0089
14.045,1.2993,1.2997,1.6,0.0136
14.05,1.2998,1.2999,1.6,0.0186
14.055,1.3003,1.3,1.6,0.024
14.06,1.3009,1.3003,1.6,0.0302
14.065,1.3015,1.3005,1.6,0.0366
14.07,1.3023,1.3005,1.6,0.0427
14.075,1.3031,1.3007,1.6,0.0496
14.08,1.304,1.3011,1.6,0.0573
14.085,1.305,1.3018,1.6,0.0662
14.09,1.306,1.302,1.6,0.074
14.095,1.3071,1.3026,1.6,0.0829
14.1,1.3083,1.3034,1.6,0.0927
14.105,1.3096,1.3039,1.6,0.1016
14.11,1.3109,1.3047,1.6,0.1115
14.115,1.3123,1.3056,1.6,0.1213
14.12,1.3137,1.3065,1.6,0.1313
14.125,1.3152,1.3072,1.6,0.1404
14.13,1.3167,1.3082,1.6,0.1505
14.135,1.3183,1.3093,1.6,0.1602
14.14,1.3199,1.3104,1.6,0.1702
